time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Corner_picked_frame,Corner_unc_q95,Corner_unc_q99,Corner_unc_max,Corner_unc_top,Corner_score_q95,Corner_score_q99,Corner_score_max,Corner_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,Cube_picked_frame,Cube_unc_q95,Cube_unc_q99,Cube_unc_max,Cube_unc_top,Cube_score_q95,Cube_score_q99,Cube_score_max,Cube_score_top,Cylinder_picked_frame,Cylinder_unc_q95,Cylinder_unc_q99,Cylinder_unc_max,Cylinder_unc_top,Cylinder_score_q95,Cylinder_score_q99,Cylinder_score_max,Cylinder_score_top,L-Shaped_picked_frame,L-Shaped_unc_q95,L-Shaped_unc_q99,L-Shaped_unc_max,L-Shaped_unc_top,L-Shaped_score_q95,L-Shaped_score_q99,L-Shaped_score_max,L-Shaped_score_top
10.0,0.00016060284106060861,0.0001746225985698402,0.0001746225985698402,0.0001746225985698402,0.00011321624435367994,0.0001419601104280446,0.00014864238037262111,0.00014527653453114906,200,0.00016702282009646295,0.00017779896734282374,0.00017779896734282374,0.00017779896734282374,0.00013658731913892552,0.00016169734401046297,0.00016723833687137812,0.00016428593808086588,200,0.000123024161439389,0.0001295415568165481,0.0001295415568165481,0.0001295415568165481,7.180280263128224e-05,8.547517798433546e-05,8.97493664524518e-05,8.765851489442867e-05,200,0.00019334553508087993,0.00022535881726071239,0.00022535881726071239,0.00022535881726071239,0.00012992837218916972,0.00018713289202423766,0.00019738092669285834,0.00019205179487471468,200,0.00019587593851611018,0.0002016054349951446,0.0002016054349951446,0.0002016054349951446,0.0001766262430464849,0.00019147214101394638,0.00019455548317637295,0.0001932566818140913,200,0.00012374575017020103,0.00013880821643397212,0.00013880821643397212,0.00013880821643397212,5.1136484762537294e-05,8.402299710724036e-05,9.428778867004439e-05,8.912974299164489e-05
11.0,0.0001665823030634783,0.0001829473185352981,0.0001829473185352981,0.0001829473185352981,0.00012162250815890726,0.000155211060817237,0.00016187914588954299,0.00015875017859798393,220,0.00013501214561983943,0.00014624762116000056,0.00014624762116000056,0.00014624762116000056,7.994637780939227e-05,0.00012311821075854822,0.00013206487346906215,0.00012756467112922109,220,0.00012062786117894575,0.00013101397780701518,0.00013101397780701518,0.00013101397780701518,6.554194515047128e-05,7.95888153515989e-05,8.702859486220405e-05,8.347814728040248e-05,220,0.00024148839293047786,0.0002821694943122566,0.0002821694943122566,0.0002821694943122566,0.00020519772733678098,0.0002718633657786995,0.0002770428254734725,0.00027458227996248754,220,0.00019587593851611018,0.0002016054349951446,0.0002016054349951446,0.0002016054349951446,0.0001766262430464849,0.00019147214101394638,0.00019455548317637295,0.0001932566818140913,220,0.00013990717707201838,0.00015370006440207362,0.00015370006440207362,0.00015370006440207362,8.08002474514069e-05,0.00011001277118339204,0.00011870395246660337,0.00011486911280371715
12.0,0.0001592379677458666,0.00017571988282725216,0.00017571988282725216,0.00017571988282725216,0.0001126195885808556,0.00014623201791255267,0.00015367985761258752,0.00015016986028058455,240,0.00013283201260492203,0.00014623644528910518,0.00014623644528910518,0.00014623644528910518,7.33552256861003e-05,0.00011701040566549636,0.00012709468137472868,0.00012211256653245074,240,0.00012228096602484584,0.00013192481128498912,0.00013192481128498912,0.00013192481128498912,6.603843321499879e-05,8.185798447811975e-05,8.918249659473076e-05,8.584199895267375e-05,240,0.00024148839293047786,0.0002821694943122566,0.0002821694943122566,0.0002821694943122566,0.00020519772733678098,0.0002718633657786995,0.0002770428254734725,0.00027458227996248754,240,0.00017864181427285075,0.00019187497673556209,0.00019187497673556209,0.00019187497673556209,0.00016216453223023562,0.00018118108724593185,0.0001848498359322548,0.0001832291622122284,240,0.00012094665289623662,0.0001263936865143478,0.0001263936865143478,0.0001263936865143478,5.634202443616232e-05,7.924724639451596e-05,9.022944868775085e-05,8.508329374308232e-05
13.0,0.00016844792990013956,0.00018287821440026163,0.00018287821440026163,0.00018287821440026163,0.00012705363355053123,0.000156500767567195,0.0001622566895093769,0.00015946288149280008,260,0.00016707944450899959,0.0001715572434477508,0.0001715572434477508,0.0001715572434477508,0.00013270423878566361,0.00015624669817043468,0.00015959514712449163,0.0001577985422045458,260,0.00012740324018523097,0.00013589876471087337,0.00013589876471087337,0.00013589876471087337,6.94116792146815e-05,8.995965450594667e-05,9.620204218663275e-05,9.325573482783511e-05,260,0.00024202204076573253,0.00028392410604283214,0.00028392410604283214,0.00028392410604283214,0.00021298713909345668,0.00027569333207793533,0.00027996496646665037,0.0002780138864181936,260,0.00018086860654875636,0.00018934364197775722,0.00018934364197775722,0.00018934364197775722,0.00016361265516025015,0.00017871240619570016,0.0001822459598770365,0.00018070925361826084,260,0.0001248663174919784,0.00013366731582209468,0.00013366731582209468,0.00013366731582209468,5.65524554986041e-05,8.189174688595813e-05,9.327533189207315e-05,8.753699039516505e-05
14.0,0.00016643351351376622,0.0001807730513974093,0.0001807730513974093,0.0001807730513974093,0.0001240512569347629,0.0001517700857366435,0.00015754413470858708,0.00015453483531018718,280,0.00016842613695189357,0.00017418916104361415,0.00017418916104361415,0.00017418916104361415,0.00013585768247139637,0.00015795119281392545,0.00016199180390685797,0.00015980006573954598,280,0.00011707579687936231,0.00011885276035172865,0.00011885276035172865,0.00011885276035172865,5.221821957093198e-05,6.365690562233795e-05,7.092465239111334e-05,6.663888925686478e-05,280,0.00024202204076573253,0.00028392410604283214,0.00028392410604283214,0.00028392410604283214,0.00021298713909345668,0.00027569333207793533,0.00027996496646665037,0.0002780138864181936,280,0.00018532852409407493,0.00019940658239647746,0.00019940658239647746,0.00019940658239647746,0.0001642383031139616,0.00018943188129924237,0.00019262544810771942,0.00019119345597573556,280,0.00011931506887776777,0.00012749264715239406,0.00012749264715239406,0.00012749264715239406,5.49549404240679e-05,7.211711686977651e-05,8.22138026705943e-05,7.702787916059606e-05
15.0,0.00016065108065959065,0.00017303804343100638,0.00017303804343100638,0.00017303804343100638,0.00011011295132448138,0.00013389029272730112,0.00013751896995017887,0.00013566356990850183,300,0.00016018952010199428,0.00016666221199557185,0.00016666221199557185,0.00016666221199557185,0.00012574750726344062,0.00014909575940691866,0.00015276126214303076,0.00015115603819140233,300,0.0001171288822661154,0.00011795030877692625,0.00011795030877692625,0.00011795030877692625,5.246383261692244e-05,6.350896277581342e-05,6.863213639007881e-05,6.545801370521076e-05,300,0.00024202204076573253,0.00028392410604283214,0.00028392410604283214,0.00028392410604283214,0.00021298713909345668,0.00027569333207793533,0.00027996496646665037,0.0002780138864181936,300,0.00018095335690304637,0.0001936808112077415,0.0001936808112077415,0.0001936808112077415,0.000157869269605726,0.00017965623876079918,0.00018473931413609535,0.00018219274061266334,300,0.00010296160326106474,0.00010297277913196012,0.00010297277913196012,0.00010297277913196012,1.4970080428611254e-06,1.4971706150390673e-06,1.4971706150390673e-06,1.4971706150390673e-06
16.0,0.0001592451933538541,0.00017257498984690756,0.00017257498984690756,0.00017257498984690756,0.00010803613909047272,0.00013225156735643392,0.0001359445371235779,0.0001339749272483459,320,0.00015954290283843873,0.0001680126297287643,0.0001680126297287643,0.0001680126297287643,0.00012035521613142918,0.00014771690606721677,0.00015154598804656416,0.00014955543010728434,320,0.00011603737220866606,0.0001199507896672003,0.0001199507896672003,0.0001199507896672003,4.975106785423122e-05,6.186448590597137e-05,6.840796413598582e-05,6.462346718763001e-05,320,0.0002481385017745197,0.0002953495713882148,0.0002953495713882148,0.0002953495713882148,0.00022266419691732153,0.0002882096747634932,0.0002919943945016712,0.0002902117310441099,320,0.00016954558668658137,0.00017658917931839824,0.00017658917931839824,0.00017658917931839824,0.0001459132065065205,0.0001619695994304493,0.00016627716831862926,0.00016398683728766628,320,0.00010296160326106474,0.00010297277913196012,0.00010297277913196012,0.00010297277913196012,1.4970080428611254e-06,1.4971706150390673e-06,1.4971706150390673e-06,1.4971706150390673e-06
17.0,0.00015477145498152823,0.0001692106801783666,0.0001692106801783666,0.0001692106801783666,0.00010329438037842918,0.0001284384762511763,0.00013253271836219938,0.00013059406852335088,340,0.00016135739861056209,0.00016742217121645808,0.00016742217121645808,0.00016742217121645808,0.00012428700429154558,0.00014691906195366756,0.00015095749404281378,0.00014916273794369773,340,0.00011433491454226896,0.00011663155601127073,0.00011663155601127073,0.00011663155601127073,4.8408997645310576e-05,5.9797790927405e-05,6.613121513510123e-05,6.26669969278737e-05,340,0.00022565777180716395,0.00028243771521374583,0.00028243771521374583,0.00028243771521374583,0.00019636568540590813,0.0002720087583293207,0.00027780054369941354,0.0002756565998424776,340,0.00016954558668658137,0.00017658917931839824,0.00017658917931839824,0.00017658917931839824,0.0001459132065065205,0.0001619695994304493,0.00016627716831862926,0.00016398683728766628,340,0.00010296160326106474,0.00010297277913196012,0.00010297277913196012,0.00010297277913196012,1.4970080428611254e-06,1.4971706150390673e-06,1.4971706150390673e-06,1.4971706150390673e-06
18.0,0.0001541870314395055,0.0001670436788117513,0.0001670436788117513,0.0001670436788117513,9.541557717057001e-05,0.00012365376976049446,0.00012925044279654685,0.00012640697182177973,360,0.00013554448960348962,0.0001457689213566482,0.0001457689213566482,0.0001457689213566482,7.765529007883742e-05,0.0001146228467405308,0.00012430772767402232,0.00011964743571297731,360,0.00011450627789599821,0.00011542456195456907,0.00011542456195456907,0.00011542456195456907,4.8501225501240695e-05,6.088440957682906e-05,6.720783130731434e-05,6.342171818687347e-05,360,0.00024362447438761592,0.00029047130374237895,0.00029047130374237895,0.00029047130374237895,0.00020149432530160987,0.0002760487189516425,0.0002829841978382319,0.0002796227825456299,360,0.00017454418120905755,0.00018083228496834636,0.00018083228496834636,0.00018083228496834636,0.00014692561962874605,0.000164211312221596,0.00016925089585129172,0.00016684136135154405,360,0.00010271573410136625,0.00010272132203681394,0.00010272132203681394,0.00010272132203681394,2.5014253424160415e-06,2.5015613118739566e-06,2.5015613118739566e-06,2.5015613118739566e-06
19.0,0.00015279645507689565,0.00016546676342841238,0.00016546676342841238,0.00016546676342841238,9.224145198459153e-05,0.00012108878376238864,0.00012737092993120314,0.00012423298665453333,380,0.00012896786211058497,0.00013751554070040584,0.00013751554070040584,0.00013751554070040584,6.0126109565317146e-05,0.00010010321493609808,0.00011179569264641032,0.00010613485465000849,380,0.00011479312524897978,0.00011645460472209379,0.00011645460472209379,0.00011645460472209379,4.8439344209327824e-05,6.085850316594587e-05,6.860169378342107e-05,6.434376518882345e-05,380,0.00024362447438761592,0.00029047130374237895,0.00029047130374237895,0.00029047130374237895,0.00020149432530160987,0.0002760487189516425,0.0002829841978382319,0.0002796227825456299,380,0.00017454418120905755,0.00018083228496834636,0.00018083228496834636,0.00018083228496834636,0.00014692561962874605,0.000164211312221596,0.00016925089585129172,0.00016684136135154405,380,0.00010205263242824003,0.00010206008300883695,0.00010206008300883695,0.00010206008300883695,4.221861217956757e-06,4.222169536660658e-06,4.222169536660658e-06,4.222169536660658e-06
20.0,0.00013755449501331893,0.00014593227242585272,0.00014593227242585272,0.00014593227242585272,7.74713891041756e-05,0.00010034021506726276,0.0001064606110958266,0.0001034162936048233,400,0.00012867337791249152,0.00013764406321570277,0.00013764406321570277,0.00013764406321570277,5.512450807145796e-05,9.594878043571953e-05,0.00010720048157963902,0.00010168617736781017,400,0.00011479312524897978,0.00011645460472209379,0.00011645460472209379,0.00011645460472209379,4.8439344209327824e-05,6.085850316594587e-05,6.860169378342107e-05,6.434376518882345e-05,400,0.00018544917693361638,0.00020713749108836055,0.00020713749108836055,0.00020713749108836055,0.00015155114087974647,0.00019288912051706574,0.00019962404621765018,0.00019617127036326566,400,0.00015679857460781932,0.0001663576695136726,0.0001663576695136726,0.0001663576695136726,0.0001287786515604239,0.00014854105436825192,0.00015341321704909205,0.0001514166382548865,400,0.00010205822036368772,0.00010206753358943388,0.00010206753358943388,0.00010206753358943388,3.4633007999218535e-06,3.4636168493307196e-06,3.4636168493307196e-06,3.4636168493307196e-06
21.0,0.00013383597542997449,0.00014190039073582738,0.00014190039073582738,0.00014190039073582738,7.405861501865729e-05,9.534815343977243e-05,0.00010070287521557475,9.813681940613605e-05,420,0.00012875878019258377,0.0001384822535328567,0.0001384822535328567,0.0001384822535328567,5.8774769422598175e-05,9.886734209430869e-05,0.00011007763532688841,0.00010458268989168573,420,0.00011490674660308287,0.00011887790606124327,0.00011887790606124327,0.00011887790606124327,4.063711567141581e-05,5.475519010360586e-05,6.118369492469355e-05,5.7743044635572005e-05,420,0.00018101016758009791,0.0001979825901798904,0.0001979825901798904,0.0001979825901798904,0.0001568680876516737,0.0001889413603930734,0.00019222332048229873,0.00019099251949228346,420,0.0001423863577656448,0.0001520320656709373,0.0001520320656709373,0.0001520320656709373,0.0001117830288421828,0.00013194659783039242,0.00013779944856651127,0.0001351355662336573,420,0.00010211782500846311,0.00010212713823420927,0.00010212713823420927,0.00010212713823420927,2.2300735054159304e-06,2.2302767774817767e-06,2.2302767774817767e-06,2.2302767774817767e-06
22.0,0.00013649441709276286,0.00014711654221173377,0.00014711654221173377,0.00014711654221173377,7.044138251785626e-05,9.449274108737883e-05,0.00010089619277096063,9.797978403184972e-05,440,0.00012831202475354072,0.00014136562822386622,0.00014136562822386622,0.00014136562822386622,5.743388519476866e-05,9.91018844069913e-05,0.00011209530930500478,0.00010621418732625898,440,0.00011423805699450895,0.00012104416236979887,0.00012104416236979887,0.00012104416236979887,3.7107412208570157e-05,5.0231143613927995e-05,5.827764834975824e-05,5.389907764765667e-05,440,0.00019504519877955317,0.0002231748658232391,0.0002231748658232391,0.0002231748658232391,0.00016565208861720748,0.00021209592785453423,0.00021751523308921605,0.00021565883071161807,440,0.00014275702415034175,0.00014786532847210765,0.00014786532847210765,0.00014786532847210765,8.989306661533189e-05,0.00010891402096603997,0.00011447204451542348,0.00011200609587831422,440,0.00010211978078586981,0.00010213272616965696,0.00010213272616965696,0.00010213272616965696,2.120459953403042e-06,2.1207285954005783e-06,2.1207285954005783e-06,2.1207285954005783e-06
23.0,0.00013369022344704716,0.00014264526253100486,0.00014264526253100486,0.00014264526253100486,6.669133066679932e-05,9.11325179040432e-05,9.737063883221708e-05,9.44991168944398e-05,460,0.00012800301192328334,0.00013829971430823207,0.00013829971430823207,0.00013829971430823207,6.117744705989023e-05,9.984720913053024e-05,0.00011116908717667684,0.00010618251217238139,460,0.00011202150926692411,0.00011382827506167814,0.00011382827506167814,0.00011382827506167814,3.0028516448510338e-05,4.575234466756228e-05,5.4997875849949196e-05,5.0449268746888266e-05,460,0.00018498691497370598,0.00021220574853941798,0.00021220574853941798,0.00021220574853941798,0.0001541576886666007,0.00020224920866894534,0.00020700242021121085,0.00020487033907556906,460,0.00014137214748188853,0.00014681759057566524,0.00014681759057566524,0.00014681759057566524,8.556838438380509e-05,0.00010528902610531077,0.0001111590099753812,0.00010846866352949291,460,0.00010206753358943388,0.0001020749841700308,0.0001020749841700308,0.0001020749841700308,2.524616775190225e-06,2.524800947867334e-06,2.524800947867334e-06,2.524800947867334e-06
24.0,0.0001325847435509786,0.0001413641351973638,0.0001413641351973638,0.0001413641351973638,6.755803759006084e-05,9.159932891634525e-05,9.755726423463785e-05,9.461349891353166e-05,480,0.00012759509263560176,0.00013702380238100886,0.00013702380238100886,0.00013702380238100886,5.909051578782964e-05,9.881387959467247e-05,0.00011042924597859383,0.00010532479609537404,480,0.00011084431753261015,0.000113915819383692,0.000113915819383692,0.000113915819383692,2.9832460495526902e-05,4.605216465279227e-05,5.414663610281423e-05,4.994646787963575e-05,480,0.00018498691497370598,0.00021220574853941798,0.00021220574853941798,0.00021220574853941798,0.0001541576886666007,0.00020224920866894534,0.00020700242021121085,0.00020487033907556906,480,0.000137524853926152,0.0001416953164152801,0.0001416953164152801,0.0001416953164152801,8.563250848965253e-05,0.00010180371413298417,0.00010713034134823829,0.00010384821398474741,480,0.0001019725386868231,0.00010197998926742002,0.00010197998926742002,0.00010197998926742002,9.077014510694426e-06,9.077677532332018e-06,9.077677532332018e-06,9.077677532332018e-06
25.0,0.00013016336073633282,0.00013714487140532584,0.00013714487140532584,0.00013714487140532584,6.371101698135816e-05,8.618660729149497e-05,9.224091068205098e-05,8.928308351784153e-05,500,0.00012592988787218928,0.00013185496209189296,0.00013185496209189296,0.00013185496209189296,5.8081056158698604e-05,9.519587198155932e-05,0.00010638588719302788,0.00010153226467082276,500,0.0001137779836426489,0.00011586414620978758,0.00011586414620978758,0.00011586414620978758,2.9026035917922848e-05,4.743160090583842e-05,5.650831008097157e-05,5.1889381575165315e-05,500,0.0001714280690066516,0.0001925082760863006,0.0001925082760863006,0.0001925082760863006,0.00014680193708045404,0.00018489504713215866,0.00018841211567632854,0.00018701710723689757,500,0.00013795046834275126,0.000143759127240628,0.000143759127240628,0.000143759127240628,8.452784350083674e-05,0.00010329229553462937,0.00010978001955663785,0.00010585844320303295,500,0.00010173039481742308,0.00010173784539802,0.00010173784539802,0.00010173784539802,1.1821224887853532e-07,1.1822090328905688e-07,1.1822090328905688e-07,1.1822090328905688e-07
26.0,0.00012492666428443044,0.0001311920437728986,0.0001311920437728986,0.0001311920437728986,5.9086621410813204e-05,7.88589662155914e-05,8.479859056791384e-05,8.203992982856789e-05,520,0.00012539344606921077,0.00013808364747092128,0.00013808364747092128,0.00013808364747092128,5.608518440567421e-05,9.804693501791916e-05,0.00011085719597758725,0.00010495162605366204,520,0.00011209228978259489,0.00011507438466651365,0.00011507438466651365,0.00011507438466651365,2.9838768477929988e-05,4.811345552298007e-05,5.6663615396246314e-05,5.23481803611503e-05,520,0.0001507440465502441,0.0001637341338209808,0.0001637341338209808,0.0001637341338209808,0.0001323097567365039,0.0001554068886616733,0.0001587457227287814,0.00015738396614324303,520,0.00013474765000864863,0.00013740285066887736,0.00013740285066887736,0.00013740285066887736,7.710607205808627e-05,9.263421794457826e-05,9.763308480614796e-05,9.542254265397787e-05,520,0.00010165588901145384,0.00010166520223719999,0.00010166520223719999,0.00010166520223719999,9.332537587170009e-08,9.333393080623864e-08,9.333393080623864e-08,9.333393080623864e-08
