object_name,method,reconstruction_seed,trial_seed,placement_success,regrasp_success,conditional_regrasp_success,sequential_success,placement_margin_m,placement_tilt_deg,placement_tilt_limit_deg,predicted_grasp_width_m,actual_grasp_width_m,contact_error_m,antipodal_margin,failure_reason
006_mustard_bottle,gt,0,6,True,True,True,True,0.011985851138713198,5.005588511142475,22.744053454096658,0.09241847243161207,0.09204166678425324,0.001434065393679143,0.9760159388000882,success
006_mustard_bottle,gt,0,7,True,True,True,True,0.01198585113871319,0.8247031988536317,22.744053454096647,0.09241847243161207,0.09244838245216691,0.002021530475479772,0.9651869443267018,success
006_mustard_bottle,gt,0,8,True,True,True,True,0.01198585113871319,6.338324132515143,22.744053454096644,0.09241847243161207,0.0930149532793547,0.00033434593744399894,0.9531833711788329,success
006_mustard_bottle,gt,0,9,True,True,True,True,0.011985851138713205,0.8342992223775622,22.74405345409667,0.09241847243161207,0.09457405116234756,0.0032207253566550126,0.9362732629785914,success
007_tuna_fish_can,gt,0,0,True,True,True,True,0.04252037752346755,5.356529987558396,68.71348615547555,0.08386399991120061,0.08381397761060505,0.004119030682501461,0.999741209052265,success
007_tuna_fish_can,gt,0,1,True,True,True,True,0.04252037752346755,6.5550519185488065,68.71348615547555,0.08386399991120061,0.08389380347464365,0.0017670399195388643,0.9993520946403788,success
007_tuna_fish_can,gt,0,2,True,True,True,True,0.042520377523467545,3.097800656689588,68.71348615547555,0.08386399991120061,0.08387899466536154,0.0029466918179221284,0.9996013310144465,success
007_tuna_fish_can,gt,0,3,True,True,True,True,0.042520377523467545,1.1591849953711442,68.71348615547555,0.08386399991120061,0.083759164427963,0.00022625468810622985,0.9970797970037294,success
007_tuna_fish_can,gt,0,4,True,True,True,True,0.04252037752346755,3.7266023903895995,68.71348615547555,0.08386399991120061,0.08381343004966094,0.001473871513907379,0.9997120139375063,success
007_tuna_fish_can,gt,0,5,True,True,True,True,0.04252037752346755,3.708587241231295,68.71348615547555,0.08386399991120061,0.08384479586014702,0.0005389657769382101,0.9993973036057735,success
007_tuna_fish_can,gt,0,6,True,True,True,True,0.042520377523467545,5.005588511142475,68.71348615547555,0.08386399991120061,0.08382435723780948,0.0009015230445355695,0.9999628704548464,success
007_tuna_fish_can,gt,0,7,True,True,True,True,0.04252037752346754,0.8247031988536317,68.71348615547555,0.08386399991120061,0.08361407693189905,0.0016488287391396308,0.9460716678697373,success
