planner,object,initial_pose_seed,planner_seed,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
pb_nbv,Cube,7,0,0.7454037909385776,0.6014366666666667,0.6014366666666667,0.9288392187667369,0.8671333333333333,0.0034118775536347524,-0.6,0.11813878283201644,0.2,0.3175723071981338
pb_nbv,Cube,14,0,0.8485997518978501,0.7430800000000001,0.7430800000000001,0.897443907458792,0.8139666666666666,0.003919659210831485,-0.5,0.05397187837533324,0.2,0.32383917580300475
pb_nbv,Cube,2,0,0.6101943154870948,0.4410633333333333,0.4410633333333333,0.7261957837080442,0.5701,0.00929006497790228,-0.7,0.2067623753512331,0.0,0.26437277259974507
pb_nbv,Cube,6,0,0.9077715885539046,0.8473733333333333,0.8473733333333333,0.99964987745711,0.9993,0.0021058341585379857,0.2,0.008311911587107734,0.4,0.343512742400344
pb_nbv,Cube,3,0,0.6948264391492307,0.5330666666666668,0.5330666666666668,0.7185784763898084,0.5607666666666666,0.009701199383080318,-0.6,0.16837443206539504,0.0,0.26638625239866087
pb_nbv,Cube,9,0,0.8258602403942629,0.7133100000000001,0.7133100000000001,0.9121763724708101,0.8385333333333334,0.0034558066954516724,-0.6,0.07505732173676086,0.0,0.3485894734010799
pb_nbv,Cube,10,0,0.6991944392977272,0.53811,0.53811,0.7218541635600622,0.5647666666666666,0.00958900243835268,-0.9,0.13849955020277968,0.0,0.3068158887996105
pb_nbv,Cube,5,0,0.7517659298455037,0.6212833333333334,0.6212833333333334,0.8477271417871752,0.7357,0.005098771232820431,-0.5,0.08062977508462872,0.2,0.3481379617995117
pb_nbv,Cube,11,0,0.7760116761373006,0.6424966666666667,0.6424966666666667,0.9303478152354127,0.8697666666666667,0.0032755162050967313,-0.3,0.11958793131617733,0.2,0.33192951020464534
pb_nbv,Cube,0,0,0.7140860615744745,0.5852366666666666,0.5852366666666666,0.9056885954513122,0.8276333333333333,0.00324562694285382,-0.3,0.11467726006247363,0.2,0.31178482140094277
pb_nbv,Thin_Irregular,8,0,0.9345757509404091,0.8950166666666666,0.8950166666666666,0.9982803813212682,0.9965666666666667,0.002218371058542143,0.125,0.0006468187568842154,0.4,0.8080316524021327
pb_nbv,Thin_Irregular,13,0,0.6970012490686158,0.5354333333333334,0.5354333333333334,0.717263495456975,0.5591666666666667,0.009655457630440316,-0.7,0.1512367180144169,0.0,0.49315558039961616
pb_nbv,Thin_Irregular,4,0,0.8077338022552027,0.6936133333333332,0.6936133333333332,0.9298708710851109,0.8689333333333333,0.003551640901077214,0.125,0.08589129687116052,0.2,0.7729363158010528
pb_nbv,Thin_Irregular,1,0,0.9303854242778644,0.8872266666666666,0.8872266666666666,0.9935587761674718,0.9872,0.0021900968118146015,0.375,0.0017692960834813753,0.4,1.1542461977980565
pb_nbv,Thin_Irregular,12,0,0.8270364427611534,0.7141500000000001,0.7141500000000001,0.9326882026469332,0.8738666666666667,0.00343688429094732,0.125,0.07209343815069633,0.2,0.8071446098008892
pb_nbv,Thin_Irregular,7,0,0.9094406431368627,0.8585833333333334,0.8585833333333334,0.993744444630788,0.9875666666666667,0.0023409381559950813,0.0,0.0018266036075836433,0.4,0.8155112722030026
pb_nbv,Thin_Irregular,14,0,0.5466040469788734,0.3774266666666667,0.3774266666666667,0.5907222548443922,0.4191666666666667,0.017282688622392156,-0.8,0.2111423045906265,0.0,0.4122748866037
pb_nbv,Thin_Irregular,2,0,0.643580712481626,0.48029666666666665,0.48029666666666665,0.8579042543066526,0.7511666666666666,0.0053055729830383,-0.4,0.16360088430291958,0.2,0.46309652839699994
pb_nbv,Thin_Irregular,6,0,0.7891038037756519,0.6768133333333333,0.6768133333333333,0.9967394030599448,0.9935,0.0022510393393664428,0.1,0.07095465487538259,0.4,0.7877491184030078
pb_nbv,Thin_Irregular,3,0,0.7103987107740073,0.56155,0.56155,0.8173611384870108,0.6911333333333334,0.00575442057628813,-0.4,0.12223794291912175,0.2,0.5048924024027656
pb_nbv,Thin_Irregular,9,0,0.6215215471737052,0.4600099999999999,0.4600099999999999,0.7973541791942274,0.663,0.007538566165070591,-0.8,0.15939861371027395,0.0,0.4112570916026016
