planner,object,initial_pose_seed,planner_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
actnerf,Cube,14,0,0.27734375,0.20703125,45.3579654685808,76.71635469437068
actnerf,Cube,14,1,0.28125,0.206640625,53.945025776339605,88.55745020154805
actnerf,Cube,14,2,0.328125,0.188671875,62.5902056249952,98.82265718462038
actnerf,Cylinder,0,0,0.19140625,0.153125,39.7712992371097,75.26457363237131
actnerf,Cylinder,0,1,0.3203125,0.205859375,65.12590358801313,94.88260569567049
actnerf,Cylinder,0,2,0.26953125,0.19375,57.01393895143315,91.22739782396064
actnerf,Cylinder,1,0,0.30859375,0.16953125,62.30509673620372,94.88260569567049
actnerf,Cylinder,1,1,0.30078125,0.20859375,60.39695620948896,90.04410781617916
actnerf,Cylinder,1,2,0.37109375,0.20703125,71.66252949560513,97.15942299152883
actnerf,Cylinder,2,0,0.34765625,0.215234375,70.06217018302262,96.63740456233161
actnerf,Cylinder,2,1,0.26953125,0.174609375,50.92326387358803,89.32754509512435
actnerf,Cylinder,2,2,0.39453125,0.243359375,73.35705899100388,102.91637152735031
actnerf,Cylinder,3,0,0.26171875,0.158203125,43.60007072463632,72.40846755454677
actnerf,Cylinder,3,1,0.40625,0.240625,73.24196770976873,101.95114146923441
actnerf,Cylinder,3,2,0.33984375,0.233984375,62.091485705299974,97.29946424863326
actnerf,Cylinder,4,0,0.2578125,0.164453125,33.45607072676102,92.9333569086497
actnerf,Cylinder,4,1,0.26171875,0.1515625,57.0139389518454,97.57566677483587
actnerf,Cylinder,4,2,0.3203125,0.194140625,70.06217018219812,96.63740456191937
actnerf,Cylinder,5,0,0.3671875,0.23125,55.25695597495145,93.33741394616513
actnerf,Cylinder,5,1,0.13671875,0.130078125,21.29614145250418,35.49345121038896
actnerf,Cylinder,5,2,0.33984375,0.233984375,63.5505648586129,96.29477390171205
actnerf,Cylinder,6,0,0.26953125,0.157421875,53.74407072745866,97.97230716923781
actnerf,Cylinder,6,1,0.3203125,0.21640625,60.349702666505934,93.71898778983557
actnerf,Cylinder,6,2,0.40234375,0.236328125,77.74669995548577,98.13814871718368
actnerf,Cylinder,7,0,0.2578125,0.187890625,57.01393895143315,91.22739782396064
actnerf,Cylinder,7,1,0.31640625,0.19375,66.6811760116552,100.7980791281058
actnerf,Cylinder,7,2,0.31640625,0.2,65.12590358760085,94.8826056955331
actnerf,Cylinder,8,0,0.32421875,0.2046875,44.608035363651595,87.56939643501813
actnerf,Cylinder,8,1,0.20703125,0.17890625,32.448106089394756,48.41729852237551
actnerf,Cylinder,8,2,0.3359375,0.216796875,54.75203536276367,79.64979156673361
actnerf,Cylinder,9,0,0.2578125,0.201171875,52.28499157332126,88.75242079972612
actnerf,Cylinder,9,1,0.32421875,0.221875,60.40541654297097,94.35841935155209
actnerf,Cylinder,9,2,0.3671875,0.226953125,66.92800000030805,103.09866666646415
actnerf,Cylinder,10,0,0.23828125,0.173828125,38.27787994766311,67.14055995378058
actnerf,Cylinder,10,1,0.26953125,0.180859375,48.76620554701995,83.8886075439029
actnerf,Cylinder,10,2,0.38671875,0.229296875,61.63621548831213,94.76342213121292
actnerf,Cylinder,11,0,0.265625,0.18984375,57.01393895143315,91.22739782396064
actnerf,Cylinder,11,1,0.19140625,0.151171875,39.77129923587294,75.2645736318216
actnerf,Cylinder,11,2,0.1875,0.12421875,32.334237542328324,46.943447877654314
actnerf,Cylinder,12,0,0.2578125,0.174609375,42.140991574209174,67.64889679911984
actnerf,Cylinder,12,1,0.265625,0.179296875,50.923263874000284,87.63744115867866
actnerf,Cylinder,12,2,0.25,0.184765625,42.140991574621424,84.60464438516145
actnerf,Cylinder,13,0,0.2578125,0.197265625,39.05373803050326,77.22726387596859
actnerf,Cylinder,13,1,0.2578125,0.197265625,39.05373803050326,77.22726387596859
actnerf,Cylinder,13,2,0.27734375,0.18203125,50.92326387358803,89.32754509512435
actnerf,Cylinder,14,0,0.37890625,0.22890625,71.66252949560513,97.15942299152883
actnerf,Cylinder,14,1,0.390625,0.231640625,65.9040000000665,98.05205287645067
actnerf,Cylinder,14,2,0.13671875,0.1296875,21.296141455802168,35.4934512131373
