planner,object,initial_pose_seed,planner_seeds,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
actnerf,L_Shaped,2,3,0.9150756850493642,0.8689177777777778,0.8689177777777778,0.9990310758974656,0.9980666666666665,0.002037245313489479,0.26666666666666666,0.0007945971910073105,0.6666666666666666,2.1512983343331142
actnerf,L_Shaped,7,3,0.8953050972639783,0.8394044444444445,0.8394044444444445,0.9932041839270355,0.9866444444444444,0.0021324639774170564,0.4083333333333334,0.011611037299698842,0.5333333333333333,2.1536404399337092
actnerf,Cylinder,14,3,0.8890926684664228,0.8149677777777778,0.8149677777777778,0.9640054695779088,0.9343666666666666,0.0027251053444662617,0.0666666666666667,0.03217038002253125,0.3333333333333333,2.2521722969341984
actnerf,Cylinder,6,3,0.8927676332407182,0.8311744444444443,0.8311744444444443,0.9961965626375949,0.9924555555555555,0.0020471799785710576,0.3577350269189626,0.02084397652823035,0.5333333333333333,2.155812178067572
actnerf,Cylinder,8,3,0.8011586522527013,0.686111111111111,0.686111111111111,0.9193721182748762,0.8524666666666666,0.0033207211798145873,0.09999999999999999,0.06031610404658946,0.26666666666666666,2.177262001398776
actnerf,Cylinder,12,3,0.8510227402829664,0.756208888888889,0.756208888888889,0.951458689262399,0.9081444444444444,0.002756058349374564,0.16666666666666666,0.045443848168799005,0.4000000000000001,2.3760128091356214
actnerf,Cylinder,1,3,0.9106304486591164,0.8542144444444445,0.8542144444444445,0.9967689822294022,0.9935999999999999,0.0020568473078301716,0.45490381056766577,0.01744092577824195,0.6666666666666666,2.152491751332612
actnerf,Cylinder,5,3,0.8285403932289507,0.7256411111111111,0.7256411111111111,0.9236558172838866,0.8640111111111111,0.0032492766513384837,0.06666666666666665,0.04029171524792757,0.3333333333333333,2.1450949908675585
actnerf,Cylinder,4,3,0.861459765631877,0.7830811111111111,0.7830811111111111,0.9835881122660265,0.9683555555555555,0.00223094235164745,0.16666666666666666,0.037774370355496516,0.5333333333333333,2.159968841666705
actnerf,Cylinder,11,3,0.9009185787660389,0.8337166666666667,0.8337166666666667,0.9553060792268159,0.9173777777777777,0.0028717632454338137,-0.3,0.026657166130909876,0.3333333333333333,2.192883056934322
actnerf,Cylinder,10,3,0.8632297795647758,0.7749433333333332,0.7749433333333332,0.9622163131936584,0.9306111111111112,0.00263181537765046,0.16666666666666666,0.036758378095431886,0.39999999999999997,2.170263962933677
actnerf,Cylinder,3,3,0.8622930355599872,0.7777333333333333,0.7777333333333333,0.9714887734354086,0.9469222222222222,0.0024517191054617125,0.2333333333333333,0.034313314581213235,0.4666666666666666,2.151872006731961
actnerf,Cylinder,0,3,0.8807960586581444,0.8127222222222222,0.8127222222222222,0.9732128917330559,0.9490888888888889,0.002387434850763099,0.20000000000000004,0.018927962984555537,0.5333333333333333,2.1576051739340376
actnerf,Cylinder,13,3,0.7971230819065229,0.6795211111111111,0.6795211111111111,0.9320866877826051,0.8748888888888889,0.002963861840396409,0.033333333333333326,0.0639187381612207,0.3333333333333333,2.247674751533001
actnerf,Cylinder,9,3,0.9206417059718773,0.8691644444444444,0.8691644444444444,0.9982843496907235,0.9965777777777779,0.0020911789157060617,0.65,0.0156802933364352,0.6,2.1622250366010123
actnerf,Cylinder,2,3,0.8903184855576874,0.8224855555555557,0.8224855555555557,0.9875240833126876,0.9756444444444444,0.002140361220724146,0.3333333333333333,0.011858436661736508,0.7333333333333334,2.1507530618657866
actnerf,Cylinder,7,3,0.9184620034402177,0.8719777777777776,0.8719777777777776,0.9983805567428368,0.9967666666666668,0.0020056599866821144,0.24226497308103742,0.0004947858494164089,0.4666666666666666,2.159085724799176
actnerf,Cross,14,3,0.8892827278705111,0.8171244444444445,0.8171244444444445,0.9584388596371592,0.9255222222222222,0.002805706092976949,0.19999999999999998,0.02176428943045099,0.5333333333333333,2.15072781326647
actnerf,Cross,6,3,0.8568222893617857,0.7758477777777778,0.7758477777777778,0.9913022743462832,0.9828111111111112,0.0022512757017196174,0.26666666666666666,0.03359839758974683,0.4000000000000001,2.160561389065697
actnerf,Cross,8,3,0.8008342477861611,0.69176,0.69176,0.9333837812282381,0.8791888888888888,0.0029599591556981955,0.26666666666666666,0.04658126823561736,0.39999999999999997,2.1634671803340706
actnerf,Cross,12,3,0.8524770202023774,0.7594844444444444,0.7594844444444444,0.9732372435292742,0.9499666666666666,0.002452181049873825,0.3333333333333333,0.029865423698513915,0.5333333333333333,2.1463772078670442
actnerf,Cross,1,3,0.874017771219516,0.79719,0.79719,0.9557705189840954,0.920811111111111,0.0029215174892200345,0.13333333333333333,0.03173067121381205,0.39999999999999997,2.154834468199503
actnerf,Cross,5,3,0.8647857284025005,0.7831800000000001,0.7831800000000001,0.9788876458895017,0.9592555555555555,0.0023892535355739242,0.26666666666666666,0.02250900473302027,0.5333333333333333,2.153154029068052
actnerf,Cross,4,3,0.837062103892151,0.7397066666666666,0.7397066666666666,0.965608141030127,0.9342,0.0024595966924523395,-0.13333333333333333,0.053180894523259414,0.26666666666666666,2.155544139733441
actnerf,Cross,11,3,0.880557370522521,0.8004055555555555,0.8004055555555555,0.9730457398394573,0.9482222222222223,0.002477563568082886,0.033333333333333326,0.03571558045150197,0.3333333333333333,2.1539322524666207
actnerf,Cross,10,3,0.862073639174188,0.7750944444444444,0.7750944444444444,0.973647497933734,0.9502,0.002444334688177023,0.19999999999999998,0.0360743787198496,0.39999999999999997,2.1572759812663813
actnerf,Cross,3,3,0.8602424092640882,0.7730311111111111,0.7730311111111111,0.9631439748046033,0.9310111111111111,0.0025800092255141758,0.033333333333333326,0.033260749402922264,0.4000000000000001,2.157704209399041
actnerf,Cross,0,3,0.8871553178975988,0.8174011111111111,0.8174011111111111,0.9704458484205006,0.9433333333333334,0.0024987697142477244,0.09999999999999999,0.016470150213260898,0.5333333333333333,2.149332000266683
actnerf,Cross,13,3,0.8277830083028489,0.7267100000000001,0.7267100000000001,0.9356486563074791,0.8797666666666667,0.00291063283081122,-0.13333333333333333,0.04210191719900367,0.26666666666666666,2.1542163935994423
actnerf,Cross,9,3,0.8836457382111114,0.8055466666666667,0.8055466666666667,0.9681839041464264,0.9388222222222223,0.002477863585977696,0.16666666666666666,0.03694412130098325,0.20000000000000004,2.152917765865277
actnerf,Cross,2,3,0.9081976969984075,0.8489455555555555,0.8489455555555555,0.9924477040084168,0.9850222222222222,0.0021843534351891716,0.19999999999999998,0.0024431720649720806,0.6,2.1513529964669336
actnerf,Cross,7,3,0.8954985739497227,0.8346833333333334,0.8346833333333334,0.9929478461461133,0.9861,0.0022299778871339992,0.5333333333333333,0.009638062001945584,0.7333333333333334,2.1544079265993785
actnerf,Bowl,14,3,0.9106989702503493,0.8536166666666668,0.8536166666666668,0.9948320789641766,0.9897333333333332,0.0022809392973710927,0.3666666666666667,0.008683604226452231,0.6,2.365929845866534
actnerf,Bowl,6,3,0.806039443865501,0.7065966666666667,0.7065966666666667,0.9486500668434198,0.9031666666666666,0.0027773055948169135,0.10000000000000002,0.0317150425090146,0.4666666666666666,2.3588284667979074
actnerf,Bowl,8,3,0.8360550332442546,0.7401011111111111,0.7401011111111111,0.9717074623211843,0.9455888888888889,0.0025054750586163757,0.5333333333333333,0.034426401721879794,0.4666666666666666,2.3692890505340376
actnerf,Bowl,12,3,0.8357889692633682,0.7287844444444445,0.7287844444444445,0.9206194161634488,0.8540777777777778,0.0031232523996637825,0.06666666666666667,0.045631585146468596,0.4000000000000001,2.372709930334531
actnerf,Bowl,1,3,0.8420112452954789,0.74311,0.74311,0.9370942774348442,0.8832222222222222,0.0029741257753223287,-0.10000000000000002,0.03605283521935133,0.26666666666666666,2.3616061043324104
actnerf,Bowl,5,3,0.846496122204602,0.7523011111111111,0.7523011111111111,0.9699485883535872,0.9423111111111111,0.0025928674175719215,0.3333333333333333,0.030074529424249746,0.5333333333333333,2.360774475332194
actnerf,Bowl,4,3,0.8827713979544031,0.8065088888888888,0.8065088888888888,0.9546805380008946,0.9144666666666666,0.002759410963327312,0.19999999999999998,0.021801640921359968,0.4000000000000001,2.350892388134283
actnerf,Bowl,11,3,0.8439875788312724,0.7515377777777777,0.7515377777777777,0.9542140144584699,0.9125222222222223,0.0027112719089302053,-0.03333333333333333,0.051654283461742535,0.26666666666666666,2.37252670120021
actnerf,Bowl,10,3,0.774724844573711,0.6528288888888888,0.6528288888888888,0.8879017195734115,0.7991666666666667,0.003447322703284838,0.06666666666666667,0.04093274502562277,0.26666666666666666,2.363195364801989
actnerf,Bowl,3,3,0.8258616832889211,0.7280966666666666,0.7280966666666666,0.943927285910506,0.8962444444444445,0.0028837237099176897,0.3,0.03586779720583008,0.5333333333333333,2.3754470577977678
actnerf,Bowl,0,3,0.8512360738881343,0.7614566666666667,0.7614566666666667,0.972811693241284,0.9472333333333333,0.002464218469828449,0.13333333333333333,0.02172246867173837,0.4000000000000001,2.365090278866895
actnerf,Bowl,13,3,0.8620967464818032,0.7695377777777778,0.7695377777777778,0.9460568454905699,0.8994555555555556,0.002891809170647464,0.10000000000000002,0.034960857645370075,0.4666666666666666,2.370783204999073
