level,variant,object,initial_pose_seed,score_map_correlation,action_flip,top_direction_deviation_deg,oracle_regret
mild,ray_gpis,Corner,21,0.06027992117479468,0.65,87.53159022271743,0.00017684254192966155
mild,ray_gpis,Corner,22,0.7008306033989469,0.0,6.773591175482297,0.0
mild,ray_gpis,Bowl,15,0.8841139634355686,0.0,12.138436928577406,0.06712270394539113
mild,ray_gpis,Bowl,16,0.7020322156099793,0.0,16.49276336474201,0.006915483731026573
mild,ray_gpis,Bowl,17,0.861516615644312,0.0,3.117463325770869,0.06703065503606931
mild,ray_gpis,Bowl,18,0.8342811927786677,0.05,3.53903829303543,0.1680162553235821
mild,ray_gpis,Bowl,19,0.8300208857862211,0.0,4.93540596951227,0.07242123661723165
mild,ray_gpis,Bowl,20,0.8162339809299277,0.0,14.517736557352496,0.0295867784427557
mild,ray_gpis,Bowl,21,0.7886973563744561,0.0,9.505256175225457,0.011432862101496521
mild,ray_gpis,Bowl,22,0.9121439044975966,0.0,14.047039484378192,0.032325721594081425
mild,ray_gpis,Thin_Irregular,15,0.3648043388075074,0.0,10.487990126518763,0.0
mild,ray_gpis,Thin_Irregular,16,0.2720892581254291,0.5,89.74349022875472,0.0007881416415952414
mild,ray_gpis,Thin_Irregular,17,0.8598093814373996,0.0,1.0051961394230373,0.0
mild,ray_gpis,Thin_Irregular,18,0.8338343657015335,0.25,5.829866024554983,0.05252459657496572
mild,ray_gpis,Thin_Irregular,19,0.21747584377547508,0.3,39.33144178139839,0.0032787380618491957
mild,ray_gpis,Thin_Irregular,20,0.8356551127260241,0.0,0.00011459347208369781,0.0
mild,ray_gpis,Thin_Irregular,21,0.7682406586175324,0.0,5.72019877825724,0.020635330472025815
mild,ray_gpis,Thin_Irregular,22,0.8780314788853284,0.6,95.03167945475033,0.02338022515514382
moderate,ray_gpis_pointwise,Cube,15,0.364866388189517,0.15,3.1753779477123367,0.02966464864348902
moderate,ray_gpis_pointwise,Cube,16,0.02930964194350391,0.15,79.53524733395676,3.337003028147656e-06
moderate,ray_gpis_pointwise,Cube,17,0.007934739070725566,0.45,53.111959783021156,0.00015064205804341536
moderate,ray_gpis_pointwise,Cube,18,0.4932708428702218,0.0,10.987814790848585,0.0
moderate,ray_gpis_pointwise,Cube,19,0.44302475537880515,0.0,5.415796979212243,0.0
moderate,ray_gpis_pointwise,Cube,20,-0.0072492274052186195,0.65,85.11316453921084,5.2555168737306036e-05
moderate,ray_gpis_pointwise,Cube,21,0.5371427958342869,0.0,2.4920327433940117,0.0
moderate,ray_gpis_pointwise,Cube,22,0.411701512073701,0.05,1.216306739407379,0.06456159825072309
moderate,ray_gpis_pointwise,Cylinder,15,0.033122389276722355,0.35,55.80163635470651,0.0002204850671477243
moderate,ray_gpis_pointwise,Cylinder,16,0.3454765821698329,0.0,21.21658437022451,0.004500211895191342
moderate,ray_gpis_pointwise,Cylinder,17,0.5802230559052414,0.0,5.119210865418509,0.0
moderate,ray_gpis_pointwise,Cylinder,18,0.13085935711833369,0.95,74.33988868428385,0.005552598288606614
moderate,ray_gpis_pointwise,Cylinder,19,0.5714126873998626,0.0,11.99563163270588,0.0
moderate,ray_gpis_pointwise,Cylinder,20,0.059613541428244446,0.9,144.16678412361986,0.0015472280202337096
moderate,ray_gpis_pointwise,Cylinder,21,0.0904206308638479,0.3,31.75836424242879,0.0
moderate,ray_gpis_pointwise,Cylinder,22,0.1489954795147631,0.05,70.8027463628983,0.00045447386269504284
moderate,ray_gpis_pointwise,green_Pepper,15,0.4713371552414739,0.0,8.247538120701618,0.0
moderate,ray_gpis_pointwise,green_Pepper,16,0.24407103179262646,0.0,14.39122731894667,0.0
moderate,ray_gpis_pointwise,green_Pepper,17,0.36626065747310593,0.0,5.622240161314314,0.0
moderate,ray_gpis_pointwise,green_Pepper,18,0.23624635214007778,0.1,13.41729621398241,0.0022410257184811377
moderate,ray_gpis_pointwise,green_Pepper,19,0.31574541691605823,0.0,10.257883959343483,0.0
moderate,ray_gpis_pointwise,green_Pepper,20,0.18977691021700932,0.0,17.299684627660813,0.0
moderate,ray_gpis_pointwise,green_Pepper,21,0.11499066577019909,0.75,59.403241195591946,0.003900788594236315
moderate,ray_gpis_pointwise,green_Pepper,22,0.24883525978484772,0.0,17.17393909063847,0.0
moderate,ray_gpis_pointwise,L_Shaped,15,0.05033596074616616,0.5,36.285358796477404,7.509383838688599e-05
moderate,ray_gpis_pointwise,L_Shaped,16,0.05271025263218128,0.65,34.69889244796584,0.0060939235984818875
moderate,ray_gpis_pointwise,L_Shaped,17,0.03496910088182904,0.55,39.02536657378749,0.0024054591221564893
moderate,ray_gpis_pointwise,L_Shaped,18,0.08356667715724422,0.1,31.472491112380318,0.0003414713841836337
moderate,ray_gpis_pointwise,L_Shaped,19,0.048465163055594944,0.45,77.74299891025365,0.0008524436312518868
moderate,ray_gpis_pointwise,L_Shaped,20,0.3133726820802122,0.05,5.288966826994058,0.0005040495043454607
moderate,ray_gpis_pointwise,L_Shaped,21,0.04389459105862788,0.85,45.62486595589563,0.003022871441297209
moderate,ray_gpis_pointwise,L_Shaped,22,0.12074891994735634,0.3,17.173034311416135,2.000133342223709e-05
moderate,ray_gpis_pointwise,Cross,15,0.4941927858205539,0.0,14.78096458297141,0.0
moderate,ray_gpis_pointwise,Cross,16,0.38706048944334404,0.2,1.9012716373452139,0.004979091814513304
moderate,ray_gpis_pointwise,Cross,17,0.5437969572556648,0.0,14.750987610531737,0.0
moderate,ray_gpis_pointwise,Cross,18,0.14367976081483175,0.45,53.751823525982466,0.0038839264782786985
moderate,ray_gpis_pointwise,Cross,19,0.556677193007553,0.0,24.576524236785353,0.0
moderate,ray_gpis_pointwise,Cross,20,0.31705277952620736,0.05,18.585926490055733,0.0030961912156185767
moderate,ray_gpis_pointwise,Cross,21,0.14141229400320438,0.3,48.78867578992582,0.002272308521097255
moderate,ray_gpis_pointwise,Cross,22,0.4045312142366674,0.0,18.094311632286058,0.0
moderate,ray_gpis_pointwise,Corner,15,0.042374971389333944,0.3,56.64074802161953,0.003194937026763983
moderate,ray_gpis_pointwise,Corner,16,0.007934739070725564,0.35,63.68746555320202,0.0005215198249608422
moderate,ray_gpis_pointwise,Corner,17,0.3887804560328277,0.0,8.23852593428028,0.0
moderate,ray_gpis_pointwise,Corner,18,0.5454600952735179,0.1,4.268183399922409,0.023506934677450454
moderate,ray_gpis_pointwise,Corner,19,0.6366481174181733,0.8,9.262056523130905,0.026806359164678596
moderate,ray_gpis_pointwise,Corner,20,0.348898668173495,0.0,8.273108169455137,0.03592658940354243
moderate,ray_gpis_pointwise,Corner,21,-0.021223356317235063,0.6,68.14103353909127,0.0001434747337276665
moderate,ray_gpis_pointwise,Corner,22,0.360510199702449,0.0,5.615114837993411,0.0
moderate,ray_gpis_pointwise,Bowl,15,0.6339795290684365,0.0,13.425825322228132,0.06712270394539113
moderate,ray_gpis_pointwise,Bowl,16,0.531067217581066,0.2,19.307750999008366,0.007765675463630939
moderate,ray_gpis_pointwise,Bowl,17,0.6173698214694436,0.0,2.422847690059741,0.06703065503606931
moderate,ray_gpis_pointwise,Bowl,18,0.6122015192263675,0.3,7.65640081829226,0.1789421102775164
moderate,ray_gpis_pointwise,Bowl,19,0.5832075060082398,0.0,8.099174753406162,0.07242123661723165
moderate,ray_gpis_pointwise,Bowl,20,0.57125,0.0,9.682359699253466,0.0295867784427557
moderate,ray_gpis_pointwise,Bowl,21,0.5178657739635892,0.05,10.100874287035712,0.010871788560006628
moderate,ray_gpis_pointwise,Bowl,22,0.686050346028065,0.0,15.171671395271005,0.032325721594081425
moderate,ray_gpis_pointwise,Thin_Irregular,15,0.15159813946792994,0.0,20.492518003452656,0.0
moderate,ray_gpis_pointwise,Thin_Irregular,16,0.06245336467316297,0.4,81.84916847128042,0.0007445106705760374
moderate,ray_gpis_pointwise,Thin_Irregular,17,0.644606066891737,0.0,10.903964081701414,0.0
moderate,ray_gpis_pointwise,Thin_Irregular,18,0.5455310854886701,0.5,7.180154537811168,0.051702207010026036
moderate,ray_gpis_pointwise,Thin_Irregular,19,0.0498599150263218,0.7,83.03665197757444,0.005916382874971188
