j_pos_0,j_pos_1,j_pos_2,j_pos_3,j_pos_4,j_pos_5,j_pos_6,j_pos_7,j_pos_8,j_pos_9,j_pos_10,j_pos_11,j_pos_12,j_pos_13,j_pos_14,j_pos_15,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,tactile_0,tactile_1,tactile_2,tactile_3,tactile_4,tactile_5,tactile_6,tactile_7,tactile_8,tactile_9,tactile_10,tactile_11,tactile_12,tactile_13,tactile_14,tactile_15
0.3912238,-0.62120354,1.5493791,-0.36042696,1.4818842,0.16419461,1.6613595,-0.8344269,0.24089366,-0.5322327,-0.004543245,-0.022951186,1.7794763,-1.0000968,0.8207384,-0.36349493,0.33602065,-1.0,-0.229338,-1.0,0.55364764,-1.0,-1.0,-1.0,-1.0,-0.9598181,0.07773945,-1.0,-0.4664327,1.0,0.659003,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.23709998,-0.39010432,1.1942911,-0.366,1.4995311,0.05561033,1.6783813,-0.6200916,0.4125013,-0.197199,0.002561286,0.2843517,1.5579231,-0.7956876,1.3381563,-0.006621167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45411688,-0.52609676,1.3468935,-0.3159416,1.6138066,0.25930145,1.5094955,-0.69483477,0.36514604,-0.6196697,0.04454404,0.18106812,1.885321,-0.7930095,0.8207384,-0.36349493,0.79213923,-0.7166072,0.33029258,-1.0,-0.14128706,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.9091698,-1.0,0.9297211,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.05151306,-0.57042456,0.9967481,-0.366,1.5158288,-0.11719453,1.6207054,-0.42025143,0.55766696,-0.03758368,0.19422846,0.48415986,1.7327678,-0.6006439,1.1709824,0.19182645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3927577,-0.4187181,1.1858256,-0.36809695,1.6506222,0.1350489,1.5463111,-0.63347566,0.24856359,-0.5951258,0.23935962,0.34367037,2.0740008,-0.61813563,0.8161363,-0.36349493,1.0,0.03958182,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.121961005,-1.0,-0.44238856,-1.0,1.0,1.0,1.0,0.98508096,1.0,-1.0,0.53081703,-0.14560433,-0.7664886,0.7972395,-0.366,1.6790884,-0.29722267,1.4491701,-0.231528,0.42670006,0.15433939,0.39256188,0.6841215,1.9277368,-0.4016351,0.9775475,0.39151597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39889365,-0.35889292,1.2932045,-0.3650289,1.6997092,-0.029087067,1.6245444,-0.44786382,0.087495655,-0.39264065,0.434175,0.5277478,2.210525,-0.41411614,0.8069324,-0.36196098,1.0,0.50345796,-1.0,-1.0,-1.0,-0.55671287,-1.0,-1.0,-1.0,-1.0,1.0,-0.10192799,-1.0,-1.0,-0.9785491,1.0,1.0,1.0,-1.0,1.0,-1.0,0.1931493,-0.314,-0.96570146,0.5973377,-0.366,1.8717402,-0.31371453,1.254863,-0.2645655,0.24050666,0.35272402,0.5922286,0.88411385,2.1243434,-0.20183335,0.77886057,0.5163846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27003914,-0.4033785,1.2119033,-0.355825,1.7533987,-0.09811613,1.581593,-0.26838815,0.124311,-0.33128124,0.6167188,0.6872818,2.208991,-0.23003864,0.6504665,-0.36349493,0.86024547,-0.13703926,-1.0,-1.0,-1.0,0.025607362,-1.0,-1.0,-1.0,-1.0,1.0,-0.33303797,-0.98493,-0.636299,0.48877397,1.0,1.0,1.0,-1.0,1.0,-0.75276,-0.561586,-0.314,-1.047,0.39735734,-0.366,2.0702705,-0.3333214,1.0560017,-0.431173,0.04670012,0.55240095,0.79216194,1.0841123,2.0036647,-0.0018730015,0.57912314,0.5722622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14425287,-0.5613785,0.9818061,-0.35735896,1.7840784,-0.18708703,1.5125635,-0.09351432,0.1764665,-0.14720368,0.7747188,0.7961945,2.208991,-0.033689022,0.5492237,-0.36349493,0.34423903,-0.28931507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.5873052,1.0,1.0,0.045496605,-0.6619808,0.7744661,-0.8745516,-0.060507923,-0.314,-1.047,0.19736126,-0.366,2.094,-0.39052883,0.85864055,-0.56630236,0.08614265,0.7523363,0.99214864,1.284112,1.819529,0.19811907,0.41873404,0.49358398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.056815952,-0.70710653,0.8100005,-0.36349493,1.6889713,-0.32361126,1.406719,-0.042892933,0.24549562,-0.0045433044,0.90050536,0.7946606,2.205923,0.122776985,0.53695184,-0.36349493,-0.03129729,0.09209494,-1.0,-0.8657149,-0.7099332,-1.0,-0.58020455,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.21959981,1.0,1.0,0.040941678,0.062129155,0.111292675,-1.0,1.0,-0.314,-1.047,-0.0026379526,-0.366,2.094,-0.47,0.6591683,-0.4333282,0.188,0.95232344,1.192146,1.3313913,1.676785,0.36203206,0.24672796,0.46816707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24396163,-0.9111261,0.60291296,-0.20396093,1.4634764,-0.49081543,1.2241752,-0.038290977,0.44337898,0.199476,0.7793208,0.5845053,2.1077485,-0.111922026,0.4663887,-0.36349493,0.25246933,0.7786062,-1.0,-0.19520481,0.3116089,-1.0,0.24684069,-1.0,-1.0,-1.0,1.0,-1.0,-0.97163886,1.0,-0.4985045,1.0,-0.13923341,-0.32174677,1.0,0.16585477,-1.0,1.0,-0.314,-1.047,-0.2026378,-0.366,2.094,-0.47,0.45927384,-0.24673338,0.17323549,1.047,1.3921454,1.3473979,1.6581769,0.4126215,0.05232674,0.6230837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39889365,-1.0721941,0.4771266,-0.01528126,1.3499616,-0.47700953,1.1321366,0.03534007,0.73176754,0.40042758,0.57683545,0.40042752,1.9129328,-0.26992202,0.4571848,-0.36349493,0.9764628,1.0,-1.0,0.49296063,1.0,-1.0,0.44516298,-1.0,-1.0,-1.0,-0.22222348,-1.0,-0.65505844,1.0,-0.18288252,0.39355576,-1.0,-0.59025705,1.0,-0.05737357,0.01308677,1.0,-0.30107185,-1.047,-0.40263778,-0.366,2.094,-0.47,0.26383275,-0.04941441,0.09052187,1.047,1.409868,1.2991197,1.8144553,0.44927615,-0.1465535,0.81406707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6259228,-1.0277085,0.6980197,0.17186445,1.4696125,-0.46166965,1.0523694,0.122776985,0.9311851,0.62592256,0.3789518,0.21021384,2.0740008,-0.48161143,0.4663887,-0.36196098,1.0,1.0,-0.22009234,0.98098856,1.0,-1.0,0.11862454,-1.0,-0.040357247,-0.965063,-0.73688483,-1.0,-0.11635172,1.0,0.15305677,-0.07140364,-1.0,0.7009576,1.0,-0.26784676,0.3680433,1.0,-0.22726014,-1.047,-0.506,-0.366,2.094,-0.47,0.11993517,0.15004939,0.04471794,1.047,1.2534125,1.195023,2.0057108,0.4474273,-0.18423566,1.0122638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67654425,-1.0261745,0.7072237,0.32986444,1.3530295,-0.46166965,1.1306026,0.28691292,1.089185,0.83607817,0.1749326,0.030738056,2.1967192,-0.64881533,0.37434983,-0.36349493,0.8894175,1.0,0.10650243,1.0,0.58070934,-1.0,-0.7209691,-1.0,-0.043067828,-0.08967577,-0.079221144,-0.86976516,-0.038954496,1.0,-0.18356463,-0.1581989,-1.0,1.0,1.0,-0.32926023,-0.28047165,1.0,-0.19351788,-1.047,-0.506,-0.366,1.9769872,-0.47,0.072539374,0.34994215,0.06004624,1.047,1.0621214,1.2863568,2.203962,0.40420204,-0.13288517,1.2119031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7379035,-1.0139027,0.88823336,0.5400197,1.1520779,-0.47394153,1.3376896,0.5062722,0.8989713,0.96033084,0.33906847,-0.16407737,2.1307583,-0.8497667,0.17033058,-0.36349493,0.34072426,1.0,-0.29353052,1.0,-0.6566924,-1.0,-1.0,-1.0,-0.68839324,1.0,0.44000918,-1.0,-0.61163574,1.0,-0.30637988,-0.32495856,-0.4862043,1.0,1.0,0.54749805,-0.50895965,1.0,-0.30212447,-1.047,-0.506,-0.366,1.9409093,-0.47,0.056827493,0.5499207,0.03374156,1.023522,0.86386317,1.4646236,2.23,0.34287536,-0.16749054,1.411831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
