object,initial_pose_seed,target_point_count,planner,selected_action,missing_patch_recall@5,selected_f@5_gain,selected_recall@5_gain,chamfer_reduction_mm,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy
Cube,20,69,ray_gpis_pointwise,minus_x,0.7971014492753623,0.15415734390513858,0.2275666666666667,2.589230891317129,0.5,0.0,1.0
Cube,20,69,ray_gpis_hit_only,minus_x,0.7971014492753623,0.15415734390513858,0.2275666666666667,2.589230891317129,0.5,0.0,1.0
Cube,20,69,ray_gpis,minus_x,0.7971014492753623,0.15415734390513858,0.2275666666666667,2.589230891317129,0.5,0.0,1.0
Cube,21,301,pose_novelty,minus_x,0.3754152823920266,0.1833449487140938,0.23249999999999998,4.332303535193205,1.0,0.0,1.0
Cube,21,301,ray_gpis_novelty_only,minus_x,0.3754152823920266,0.1833449487140938,0.23249999999999998,4.332303535193205,0.5,0.0,1.0
Cube,21,301,ray_gpis_uncertainty_only,minus_x,0.3754152823920266,0.1833449487140938,0.23249999999999998,4.332303535193205,0.5,0.0,1.0
Cube,21,301,ray_gpis_pointwise,minus_x,0.3754152823920266,0.1833449487140938,0.23249999999999998,4.332303535193205,0.5,0.0,1.0
Cube,21,301,ray_gpis_hit_only,minus_x,0.3754152823920266,0.1833449487140938,0.23249999999999998,4.332303535193205,1.0,0.0,1.0
Cube,21,301,ray_gpis,minus_x,0.3754152823920266,0.1833449487140938,0.23249999999999998,4.332303535193205,0.5,0.0,1.0
Cube,22,202,pose_novelty,minus_x,0.7425742574257426,0.31283520807565923,0.4091666666666666,6.968123838305473,1.0,0.0,1.0
Cube,22,202,ray_gpis_novelty_only,minus_x,0.7425742574257426,0.31283520807565923,0.4091666666666666,6.968123838305473,1.0,0.0,1.0
Cube,22,202,ray_gpis_uncertainty_only,minus_x,0.7425742574257426,0.31283520807565923,0.4091666666666666,6.968123838305473,1.0,0.0,1.0
