planner,object,initial_pose_seed,mean_visibility_ratio,mean_pose_error_deg,mean_translation_error_mm,mean_action_execution_error_deg
ray_gpis,green_Pepper,9,0.5699728711873986,9.030178787544735,3.3989702876616525,44.095568037308155
ray_gpis,green_Pepper,10,0.573282167585281,4.5636285636442935,2.3573367970222208,41.191723171912656
ray_gpis,green_Pepper,11,0.5673938377531158,4.524474457768304,2.5565365125698385,43.26484514353408
ray_gpis,green_Pepper,12,0.6151348162427519,5.987107793080796,2.0528397700797756,53.90723067309439
ray_gpis,green_Pepper,13,0.5536921847497812,3.4906384431507322,1.8103622687081695,55.74060319392262
ray_gpis,green_Pepper,14,0.5746832949226308,4.00065840996657,3.2563899501016897,26.538566616138915
ray_gpis_hit_only,Bowl,0,0.6104436304058546,3.913790477749773,2.4430446939668715,36.76072294860673
ray_gpis_hit_only,Bowl,1,0.6005190520616045,5.358208623347255,3.120760058683949,14.00061608248009
ray_gpis_hit_only,Bowl,2,0.6126655834273304,5.831869919226251,5.001930847016391,28.7693207366034
ray_gpis_hit_only,Bowl,3,0.6181857069159477,5.659563327639382,1.9629378089600613,26.04533105669883
ray_gpis_hit_only,Bowl,4,0.5465620699150399,8.683105647524576,4.615739818169874,26.361683679162553
ray_gpis_hit_only,Bowl,5,0.5762898890040414,9.426973690382933,4.914666703968864,34.36831619994848
ray_gpis_hit_only,Bowl,6,0.5189411563821326,9.778595443018023,4.3696447582483025,25.237035476857045
ray_gpis_hit_only,Bowl,7,0.56671442590698,4.794448257641418,3.519568366602585,24.877091269032412
ray_gpis_hit_only,Bowl,8,0.5511317975807621,4.7929510636741535,2.304080282017713,43.17132304158545
ray_gpis_hit_only,Bowl,9,0.5941316184775065,8.240711515339287,4.52773668596572,21.090400079538266
ray_gpis_hit_only,Bowl,10,0.5558824177215006,4.5087797222382155,2.45210407929918,29.149556382546905
ray_gpis_hit_only,Bowl,11,0.5562358919822797,7.283610568519072,4.176160748951898,34.861189338191664
ray_gpis_hit_only,Bowl,12,0.5094118686119836,4.143454627097173,2.9991448065630495,24.951031984584834
ray_gpis_hit_only,Bowl,13,0.6157371371602002,4.806985712287616,3.1009929835657797,41.25729745023197
ray_gpis_hit_only,Bowl,14,0.611304968627053,4.6061381074941306,2.9257987518558606,36.66967817655349
ray_gpis_hit_only,Corner,0,0.6008618850955689,5.335589627820288,2.589153144075201,26.397037562235504
ray_gpis_hit_only,Corner,1,0.5949000114628639,5.725096595874878,2.226990525739131,52.51311365059039
ray_gpis_hit_only,Corner,2,0.5445947533615554,4.2562360916825694,2.9418509503948616,42.481563660677224
ray_gpis_hit_only,Corner,3,0.5899449646597125,7.508272420619977,6.820705250937422,18.884350443452917
ray_gpis_hit_only,Corner,4,0.6187295922843884,12.089342013631901,2.9106055509087585,37.10161049805485
ray_gpis_hit_only,Corner,5,0.49231249188947884,6.050839995282697,3.2162103485519933,38.991763581223736
ray_gpis_hit_only,Corner,6,0.5880763570004,5.951227979412913,2.775987671146634,21.97009125628116
ray_gpis_hit_only,Corner,7,0.6486533906592211,4.8068895587350875,2.0833625124214286,15.413940015549008
ray_gpis_hit_only,Corner,8,0.5322838821258856,4.275680330718889,2.61917378699825,36.32597576009118
ray_gpis_hit_only,Corner,9,0.5266326556941284,8.844404200589038,3.132907665262971,42.185858900269835
ray_gpis_hit_only,Corner,10,0.586678060204955,3.852741261216598,3.298223838705015,26.06621435414676
ray_gpis_hit_only,Corner,11,0.6508134364203104,4.1364364979392185,2.24600989841545,13.788157671377345
ray_gpis_hit_only,Corner,12,0.5356036858527456,9.788723390974837,4.258562801834885,39.55041623424561
ray_gpis_hit_only,Corner,13,0.5993041635546827,8.879735688012184,3.9874014724613813,29.01344133648822
ray_gpis_hit_only,Corner,14,0.58360572226908,4.340757604314228,2.2064025949963275,36.64320035399265
ray_gpis_hit_only,Cross,0,0.5309488573236173,9.471805576468292,5.095864533612802,28.875813759257664
ray_gpis_hit_only,Cross,1,0.5251222421823986,4.86671504488077,2.6599942243031247,38.353873593482966
ray_gpis_hit_only,Cross,2,0.6095069621544632,5.478477053921638,2.9171712972153925,48.11429509915714
ray_gpis_hit_only,Cross,3,0.6053534496966309,5.730713647590316,2.625205591556938,28.237403354853463
ray_gpis_hit_only,Cross,4,0.6102786082834101,6.359538368413259,3.097741198752602,22.87096566951663
ray_gpis_hit_only,Cross,5,0.5534558761162637,5.864466464590746,2.908679083183564,25.35629096649857
ray_gpis_hit_only,Cross,6,0.6211445808873544,5.636184550841161,2.2937626721431013,41.845649435657336
ray_gpis_hit_only,Cross,7,0.5629672278131818,5.508179832181028,5.860160532325246,47.614511493186725
ray_gpis_hit_only,Cross,8,0.568481586217227,11.591494840153869,4.162717278880273,29.257613144413103
ray_gpis_hit_only,Cross,9,0.5440792948584944,5.202729187546359,2.409201397110067,32.36604229216994
ray_gpis_hit_only,Cross,10,0.5704631890560793,5.9087214979287355,2.49757977291196,30.427849442784105
ray_gpis_hit_only,Cross,11,0.5332401304835656,8.722679397201006,4.281667378035783,34.60915207224397
ray_gpis_hit_only,Cross,12,0.6004273126483699,12.794418428781526,3.5753179062206204,41.94780778995507
ray_gpis_hit_only,Cross,13,0.5563282985245377,8.11531844202713,3.3530366689649735,23.09612683628308
ray_gpis_hit_only,Cross,14,0.6158381270926243,4.356153272490887,4.001937603617038,34.66575111777807
ray_gpis_hit_only,Cube,0,0.5882896824013496,7.420934719734409,1.9436321562884684,19.613975378731006
ray_gpis_hit_only,Cube,1,0.5721675723687604,4.0225632714390835,3.487264768052169,22.389801302189777
ray_gpis_hit_only,Cube,2,0.527589645605382,4.847426427888666,3.6856856029175,38.265519607919956
ray_gpis_hit_only,Cube,3,0.6287724305712215,5.778475958188632,1.7873450954685846,38.95762630417308
ray_gpis_hit_only,Cube,4,0.5219919420068564,4.542136645411695,2.2727589805687356,38.251336999492935
ray_gpis_hit_only,Cube,5,0.5471827430849269,5.02928579474585,2.9644129187561505,41.087446638166234
ray_gpis_hit_only,Cube,6,0.5829810364916047,6.156301251934225,3.9884519613565055,35.94779193244493
ray_gpis_hit_only,Cube,7,0.6486731873050472,4.977730594534404,2.932893747200192,50.41336861170424
