planner,object,initial_pose_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
er_gpis,Cross,12,0.35546875,0.2328125,73.86664285235933,89.31847238680407
er_gpis,Cross,13,0.32421875,0.223828125,75.6835561747274,94.82908531760762
er_gpis,Cross,14,0.37890625,0.23125,74.26880067894723,95.75875804279596
er_gpis,Cube,0,0.3359375,0.21875,63.832776776086256,97.0575030580823
er_gpis,Cube,1,0.29296875,0.2140625,60.66549029324956,91.19116726380078
er_gpis,Cube,2,0.3984375,0.232421875,71.66060863167534,100.69845718806931
er_gpis,Cube,3,0.34765625,0.22890625,64.00170463382543,89.28509815149293
er_gpis,Cube,4,0.359375,0.23046875,67.19700019647907,98.28053515443185
er_gpis,Cube,5,0.359375,0.212890625,60.5139988433839,97.57401203714035
er_gpis,Cube,6,0.38671875,0.223828125,74.04061367437657,104.3802906257686
er_gpis,Cube,7,0.3359375,0.200390625,57.76846126951258,88.50172992513168
er_gpis,Cube,8,0.328125,0.217578125,59.8865104904408,96.07200939440821
er_gpis,Cube,9,0.3125,0.215625,54.272376677584205,96.53938811608283
er_gpis,Cube,10,0.30859375,0.209765625,63.56776351212013,82.75295690562727
er_gpis,Cube,11,0.375,0.227734375,64.19215694738145,89.479770898405
er_gpis,Cube,12,0.33984375,0.219140625,68.51724989545498,99.01712086099649
er_gpis,Cube,13,0.375,0.22890625,56.9911307693748,102.11218460945896
er_gpis,Cube,14,0.40234375,0.2375,78.17401056336655,96.74233468506219
er_gpis,Cylinder,0,0.328125,0.215234375,63.85846678943108,97.97817381080998
er_gpis,Cylinder,1,0.33984375,0.212890625,65.39358645445469,98.96648363902217
er_gpis,Cylinder,2,0.390625,0.234765625,76.9481032626667,97.52683936857419
er_gpis,Cylinder,3,0.3671875,0.223828125,66.32071016358415,92.71516303455046
er_gpis,Cylinder,4,0.34765625,0.227734375,52.999111417009615,101.74606260736113
er_gpis,Cylinder,5,0.3671875,0.23671875,67.48204870873654,98.8471185122834
er_gpis,Cylinder,6,0.3828125,0.2328125,67.96050392442575,100.52518914632496
er_gpis,Cylinder,7,0.3515625,0.236328125,70.70770876093766,92.14839740864916
er_gpis,Cylinder,8,0.40625,0.237890625,75.88936649337907,99.8525290345518
er_gpis,Cylinder,9,0.35546875,0.209765625,72.89073610301672,97.14777868931763
er_gpis,Cylinder,10,0.33984375,0.228515625,66.0568680366106,95.7085546625279
er_gpis,Cylinder,11,0.3046875,0.207421875,53.9044183770255,88.83270113684469
er_gpis,Cylinder,12,0.390625,0.234765625,72.83955665211484,98.15001937264795
er_gpis,Cylinder,13,0.38671875,0.232421875,67.06367185205912,100.67824513169661
er_gpis,Cylinder,14,0.3359375,0.20703125,69.96386726241579,101.2591284030022
er_gpis,L_Shaped,0,0.35546875,0.22109375,70.03902298741585,101.41199870462043
er_gpis,L_Shaped,1,0.29296875,0.2125,51.810726216233704,91.14806393630094
er_gpis,L_Shaped,2,0.3515625,0.222265625,67.90584458872134,98.24855032006171
er_gpis,L_Shaped,3,0.33984375,0.22578125,59.05641033987645,101.12191338691245
er_gpis,L_Shaped,4,0.37890625,0.22890625,66.51044607471935,89.9510286688759
er_gpis,L_Shaped,5,0.296875,0.16796875,41.197289239240355,67.33205658837782
er_gpis,L_Shaped,6,0.38671875,0.226171875,71.43971042471603,101.77609865250446
er_gpis,L_Shaped,7,0.36328125,0.218359375,57.9226167619247,99.35375424610449
er_gpis,L_Shaped,8,0.3828125,0.2234375,64.97262910098748,92.83570698504614
er_gpis,L_Shaped,9,0.34765625,0.22734375,73.5357739786949,89.80466070280606
er_gpis,L_Shaped,10,0.359375,0.233984375,65.23918871914458,99.9812182737469
er_gpis,L_Shaped,11,0.3515625,0.221875,60.33796222911892,101.0105085534602
er_gpis,L_Shaped,12,0.296875,0.2140625,63.4485211725206,81.32793255574185
er_gpis,L_Shaped,13,0.34375,0.219921875,71.35144241691235,100.30382769718479
er_gpis,L_Shaped,14,0.359375,0.227734375,64.51158048623321,101.26131873655244
er_gpis,Thin_Irregular,0,0.328125,0.21796875,63.985985946115065,88.33584324858816
er_gpis,Thin_Irregular,1,0.3515625,0.221484375,69.4909316756816,99.00864129241828
er_gpis,Thin_Irregular,2,0.26953125,0.18984375,48.25624796423544,89.05574429223209
er_gpis,Thin_Irregular,3,0.31640625,0.22578125,55.37558191152059,89.66570064353385
er_gpis,Thin_Irregular,4,0.37109375,0.223046875,67.85275878971152,87.58211342119363
er_gpis,Thin_Irregular,5,0.38671875,0.2296875,77.85036578043739,98.57282946901837
er_gpis,Thin_Irregular,6,0.29296875,0.198828125,56.69895138156858,91.54729562951476
er_gpis,Thin_Irregular,7,0.3515625,0.220703125,73.52730903355436,95.07671584471366
er_gpis,Thin_Irregular,8,0.375,0.23828125,65.91061234420383,101.53329858495893
er_gpis,Thin_Irregular,9,0.34765625,0.216796875,68.91096637816914,94.94423158581564
er_gpis,Thin_Irregular,10,0.37109375,0.230859375,70.84694091291826,94.07205750552924
er_gpis,Thin_Irregular,11,0.359375,0.221875,68.77445187133696,91.82890294438104
er_gpis,Thin_Irregular,12,0.34765625,0.223046875,61.30117170718063,102.8053720374628
er_gpis,Thin_Irregular,13,0.36328125,0.229296875,69.9718090955164,100.46620153071693
er_gpis,Thin_Irregular,14,0.33203125,0.208203125,60.01512113264947,98.16246243022859
er_gpis,green_Pepper,0,0.375,0.22109375,57.96205780138107,87.70819063318235
er_gpis,green_Pepper,1,0.296875,0.18671875,64.52442966370072,94.64160393756653
er_gpis,green_Pepper,2,0.328125,0.214453125,66.59352730256133,97.50754430753882
er_gpis,green_Pepper,3,0.3828125,0.225390625,72.77765973107013,92.07901374845063
er_gpis,green_Pepper,4,0.296875,0.21953125,53.53293408123892,92.11468071097555
er_gpis,green_Pepper,5,0.359375,0.215625,70.07478163950148,101.1788052743089
er_gpis,green_Pepper,6,0.33203125,0.213671875,50.17850270840037,94.1828269244638
er_gpis,green_Pepper,7,0.390625,0.233984375,69.36684594857572,98.4214121757655
er_gpis,green_Pepper,8,0.37109375,0.225390625,57.0947430947787,95.54296490965834
er_gpis,green_Pepper,9,0.37109375,0.22890625,68.21233414495437,95.85617646443546
er_gpis,green_Pepper,10,0.37109375,0.227734375,81.02880409570854,99.47732586595899
er_gpis,green_Pepper,11,0.3828125,0.22109375,73.71305615435485,105.85314555143947
er_gpis,green_Pepper,12,0.3984375,0.23046875,71.21660671903638,101.92808008579664
er_gpis,green_Pepper,13,0.390625,0.244140625,72.90610624500098,93.15136797445133
er_gpis,green_Pepper,14,0.359375,0.225390625,70.93004071378706,94.06325814743009
pose_novelty,Bowl,0,0.375,0.230078125,70.97867082393878,97.46667793760207
pose_novelty,Bowl,1,0.359375,0.217578125,65.88005295143873,98.21106818747437
pose_novelty,Bowl,2,0.37890625,0.2234375,66.75685025668311,96.67941452809059
pose_novelty,Bowl,3,0.41015625,0.24453125,78.37319700773791,102.36954358685661
pose_novelty,Bowl,4,0.3515625,0.2265625,70.98895206401563,101.24939546788892
pose_novelty,Bowl,5,0.390625,0.233984375,81.7730115243349,97.61884761450303
pose_novelty,Bowl,6,0.3828125,0.224609375,74.36430831458138,91.39080427015668
pose_novelty,Bowl,7,0.375,0.225,76.94350046476522,93.79718097970687
pose_novelty,Bowl,8,0.3671875,0.22578125,78.70688633332271,92.36702596474048
pose_novelty,Bowl,9,0.3828125,0.23125,76.69524034597906,97.73654218897059
pose_novelty,Bowl,10,0.390625,0.2359375,76.35921250207828,90.68638140809183
pose_novelty,Bowl,11,0.40234375,0.236328125,70.74031413568544,101.95913495930276
pose_novelty,Bowl,12,0.37109375,0.221484375,71.30965943593073,94.03436303220073
pose_novelty,Bowl,13,0.390625,0.244140625,69.05731541334545,96.107008993806
pose_novelty,Bowl,14,0.39453125,0.2296875,73.94685246675778,100.14444932561813
pose_novelty,Corner,0,0.39453125,0.2359375,70.82857967446459,98.04021795836346
pose_novelty,Corner,1,0.37109375,0.23828125,69.70655563971262,92.85746418215489
pose_novelty,Corner,2,0.390625,0.232421875,74.57373839998472,98.2524117996032
pose_novelty,Corner,3,0.36328125,0.225,75.97263727584172,90.66826484687678
pose_novelty,Corner,4,0.359375,0.221484375,75.81044260473718,96.57061702182524
pose_novelty,Corner,5,0.359375,0.233984375,74.78379851980057,99.14151064491199
pose_novelty,Corner,6,0.3828125,0.2296875,66.61900163539761,97.30584099866101
pose_novelty,Corner,7,0.3984375,0.23984375,69.57708424705886,98.34209798237126
pose_novelty,Corner,8,0.37109375,0.22734375,77.23338986315673,92.24823491381487
pose_novelty,Corner,9,0.35546875,0.21875,67.92000608288947,92.95165363588039
pose_novelty,Corner,10,0.34375,0.221875,67.29381886094242,100.69176703580503
pose_novelty,Corner,11,0.390625,0.23203125,81.45590291130318,96.66340685551653
pose_novelty,Corner,12,0.3515625,0.221484375,72.61281530547932,93.886258254041
pose_novelty,Corner,13,0.38671875,0.237890625,67.19690498436474,92.97642961658224
pose_novelty,Corner,14,0.37109375,0.220703125,79.22850294912436,97.78841930825752
pose_novelty,Cross,0,0.359375,0.23125,69.6850162880747,100.48781986705457
pose_novelty,Cross,1,0.3984375,0.234765625,78.16750931441693,101.1274313063888
pose_novelty,Cross,2,0.34375,0.230859375,57.40440805948017,89.27441462933555
pose_novelty,Cross,3,0.375,0.219140625,75.52284369545892,87.3342312305664
pose_novelty,Cross,4,0.3984375,0.232421875,86.21450439302312,102.16497195561296
pose_novelty,Cross,5,0.40234375,0.231640625,83.23959953512238,98.80179694652793
pose_novelty,Cross,6,0.3984375,0.2390625,76.385877086392,100.2455857869425
