scenario,planner,object,initial_pose_seed,f@5_auc,recall@5_auc,target_recall@5_auc,final_target_recall@5,target_surface_point_count,target_first_25_step,post_outlier_oracle_regret,post_outlier_f@5_auc,post_outlier_unique_gain,ghost_ratio,miss_direction_selection_rate,planning_time_s,mean_visibility_ratio,mean_pose_error_deg,mean_translation_error_mm,cuda_steps,states,actions,gain_consistency_error,scheduled_outlier_events
sparse,ray_gpis,Cube,20,0.9196419279987704,0.8768799999999999,0.6476923076923077,1.0,65,2,1.6670000518581585e-05,0.9767282839159407,0.06851666666666667,nan,0.4,0.23005914760287852,0.9415877311682453,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cube,21,0.8797122621690571,0.8114533333333332,0.5972972972972974,1.0,74,1,2.0835069589136834e-05,0.9354102095190515,0.089225,nan,0.6,0.22254151499364525,0.9417109929078015,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cube,22,0.8538684496026914,0.7798999999999999,0.7083333333333334,0.9583333333333334,48,1,0.01906126614469872,0.9254891336832418,0.10468333333333335,nan,0.8,0.11154333560552913,0.941747572815534,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cylinder,15,0.921775411198319,0.8784566666666667,0.6276595744680851,1.0,47,1,0.00021957737674863087,0.9760068413782037,0.06295,nan,0.4,0.22633519060036633,0.9417204301075269,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cylinder,16,0.8787780390585583,0.8059500000000002,0.4135593220338983,0.9830508474576272,59,1,0.0014148595369442851,0.9320908512689936,0.09465000000000001,nan,0.8,0.23643545959494078,0.9416884247171454,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cylinder,17,0.8731030141094621,0.80866,0.7557377049180328,1.0,61,1,0.0006491813191169538,0.9417653074640168,0.11088333333333333,nan,0.8,0.22500985639926513,0.9415807560137456,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cylinder,18,0.8709897407203254,0.7924966666666667,0.3666666666666667,1.0,57,4,0.009275181582453967,0.9241802120941571,0.08579166666666668,nan,0.8,0.1242766470008064,0.9417777777777777,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cylinder,19,0.8373100799372674,0.7543500000000001,0.49811320754716987,0.9056603773584906,53,1,0.0,0.9070485992696588,0.11216666666666666,nan,1.0,0.12539394879713656,0.9417910447761194,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cylinder,20,0.8864331288805121,0.8264933333333333,0.5476190476190477,1.0,63,2,0.003997664293805381,0.9518956991564579,0.08976666666666666,nan,0.4,0.2351834067987511,0.9417727487034417,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cylinder,21,0.9111445659592965,0.8576766666666668,0.5606060606060607,0.898989898989899,99,2,0.00046455634781952804,0.9627501368434139,0.07149166666666668,nan,0.6,0.11139766420528759,0.9416559416559416,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Cylinder,22,0.8786063226683811,0.8128499999999999,0.3671875,0.484375,64,1,0.002974337100447838,0.9431193677040322,0.08803333333333335,nan,1.0,0.24134909780696034,0.9417148362235067,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,L_Shaped,15,0.9231793642830868,0.8834566666666666,0.7223684210526315,0.9868421052631579,76,1,6.70796882136504e-05,0.9798654294386256,0.05385000000000001,nan,0.2,0.2226756429998204,0.9417204301075269,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,L_Shaped,16,0.8990393192979532,0.8472500000000001,0.8227272727272726,0.9848484848484849,66,1,0.0007009305058127135,0.9636092232128145,0.083675,nan,0.4,0.2394678851997014,0.9416439600363306,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,L_Shaped,17,0.9061162953945617,0.8578766666666666,0.48139534883720925,1.0,43,3,0.0,0.9670727265612573,0.06588333333333332,nan,0.6,0.23215968259610237,0.9417576703068122,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,L_Shaped,18,0.896795291244251,0.8360799999999999,0.7261904761904762,1.0,84,1,0.0,0.951568554495803,0.08750833333333333,nan,0.6,0.23746956679970027,0.9415807560137456,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,L_Shaped,19,0.927052989628758,0.8901333333333333,0.6285714285714286,1.0,14,2,0.0,0.9833279993504654,0.05134166666666665,nan,0.2,0.22706028819957283,0.941578148710167,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,L_Shaped,20,0.8799608888634893,0.80914,0.65,1.0,40,1,0.002967604864739737,0.935122303307848,0.048241666666666655,nan,1.0,0.24082475919858554,0.9417426545086119,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,L_Shaped,21,0.9042726798445992,0.8457366666666667,0.5355263157894736,0.9605263157894737,76,2,0.0030542410500493944,0.9556657664547771,0.07770000000000002,nan,0.2,0.23815317059634253,0.9416195856873824,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,L_Shaped,22,0.9070737721620041,0.8589200000000001,0.5666666666666667,1.0,27,1,0.00042894619976641124,0.9684270793179858,0.06711666666666666,nan,0.4,0.2275201050011674,0.9417727487034417,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Thin_Irregular,15,0.9186086765592713,0.8732633333333334,0.5447761194029851,1.0,67,2,0.0002462559508188966,0.9722587335703521,0.05330833333333332,nan,0.6,0.5654201437981101,0.9416294088425236,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Thin_Irregular,16,0.8995766054708725,0.8486,0.42727272727272725,1.0,88,3,0.0005051397923356016,0.9646971328755468,0.07824166666666668,nan,0.4,0.6233506455959287,0.9416951080773606,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Thin_Irregular,17,0.8551090032808737,0.7754833333333333,0.6599999999999999,1.0,135,1,0.0,0.9136836018834609,0.10933333333333334,nan,0.6,0.4280187231983291,0.941684665226782,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Thin_Irregular,18,0.8042978832762507,0.69546,0.4238095238095238,0.8571428571428571,42,3,0.024407421899987458,0.8655891215116314,0.08634999999999998,nan,1.0,0.4509245627996279,0.9417216462456802,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Thin_Irregular,19,0.9015278723718774,0.8452133333333334,0.6875,1.0,112,1,0.0,0.9577815649251243,0.08760833333333334,nan,0.4,0.535493452200899,0.9416607015032211,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Thin_Irregular,20,0.8688148356303451,0.79729,0.683490566037736,0.8443396226415094,212,1,0.003235814657831293,0.9298500276799073,0.09717499999999998,nan,0.6,0.5466631803981727,0.9416666666666668,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Thin_Irregular,21,0.8286162164420423,0.7367066666666666,0.45087719298245615,1.0,57,2,0.007537508311968755,0.8940394396398114,0.10480833333333334,nan,1.0,0.5702154883998446,0.9417382999044891,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,Thin_Irregular,22,0.876076958950514,0.8075166666666664,0.526984126984127,1.0,126,2,0.0008561981867089286,0.9374601872258544,0.08878333333333333,nan,0.4,0.40447427579492795,0.9416180150125104,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,green_Pepper,15,0.8425059388173098,0.7576766666666666,0.5952380952380952,1.0,63,2,0.006766852763894438,0.908345360320779,0.11453333333333335,nan,1.0,0.2242072250082856,0.9417874396135266,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,green_Pepper,16,0.8809354880991893,0.8150999999999999,0.39836065573770496,0.9344262295081968,61,3,0.0,0.9412740777854651,0.08299999999999999,nan,0.6,0.21514857540023513,0.941712204007286,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,green_Pepper,17,0.8698458085548981,0.7980233333333334,0.6799999999999999,0.96,50,1,0.0,0.9319867978181124,0.09162500000000001,nan,1.0,0.1109384761977708,0.9415584415584416,0.0,0.0,5,6,5,0.0,0
sparse,ray_gpis,green_Pepper,18,0.8909333051352378,0.8299733333333332,0.6577464788732394,1.0,71,1,0.00038824609778354,0.9504639453434727,0.0892,nan,0.6,0.2297699571994599,0.941623263888889,0.0,0.0,5,6,5,0.0,0
