time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,cube_obj_01_picked_frame,cube_obj_01_unc_q95,cube_obj_01_unc_q99,cube_obj_01_unc_max,cube_obj_01_unc_top,cube_obj_01_score_q95,cube_obj_01_score_q99,cube_obj_01_score_max,cube_obj_01_score_top,cube_obj_02_picked_frame,cube_obj_02_unc_q95,cube_obj_02_unc_q99,cube_obj_02_unc_max,cube_obj_02_unc_top,cube_obj_02_score_q95,cube_obj_02_score_q99,cube_obj_02_score_max,cube_obj_02_score_top,cube_purple_picked_frame,cube_purple_unc_q95,cube_purple_unc_q99,cube_purple_unc_max,cube_purple_unc_top,cube_purple_score_q95,cube_purple_score_q99,cube_purple_score_max,cube_purple_score_top
10.0,0.9476990021765233,0.9783722758293152,0.9783722758293152,0.9783722758293152,0.6403840728104113,0.7794296309351921,0.8225348442792892,0.8015736043453217,200,0.9462318420410156,0.9822405576705933,0.9822405576705933,0.9822405576705933,0.5998787194490431,0.7541485768556595,0.803774893283844,0.7803227335214615,200,1.0468389987945557,1.0678741931915283,1.0678741931915283,1.0678741931915283,0.9218380302190781,0.9874803167581558,1.0142643451690674,0.9995810031890869,200,0.8279946714639663,0.8568334579467773,0.8568334579467773,0.8568334579467773,0.29585111141204823,0.5028882879018783,0.5608255863189697,0.5311964958906173,200,0.9697304964065552,1.0065408945083618,1.0065408945083618,1.0065408945083618,0.7439684301614761,0.8732013422250747,0.9112745523452759,0.8951941847801208
11.0,0.9301198318600654,0.960827112197876,0.960827112197876,0.960827112197876,0.5836807228624821,0.7263181549310684,0.7735769301652908,0.7508509241044522,220,0.8699938058853149,0.8959084153175354,0.8959084153175354,0.8959084153175354,0.3621698975563049,0.5175076884031296,0.5811975598335266,0.5491961777210236,220,1.0448206543922423,1.0733311176300049,1.0733311176300049,1.0733311176300049,0.9159574776887893,0.9900631451606751,1.019443392753601,1.0065836638212204,220,0.8286829799413681,0.8581697344779968,0.8581697344779968,0.8581697344779968,0.2969913184642791,0.5043841940164566,0.5638578534126282,0.5335528671741485,220,0.9769818872213363,1.0158991813659668,1.0158991813659668,1.0158991813659668,0.7596041977405548,0.8933175921440124,0.9298089146614075,0.914070987701416
12.0,0.8906849473714828,0.9157890975475311,0.9157890975475311,0.9157890975475311,0.5047102488577365,0.6143246427178383,0.6557196453213692,0.6360415713861585,240,0.7768328785896301,0.8045819997787476,0.8045819997787476,0.8045819997787476,0.18824974894523613,0.3312962770462036,0.3916846215724945,0.3606408730149269,240,1.0774438381195068,1.0918492078781128,1.0918492078781128,1.0918492078781128,0.9699631989002228,1.0348235976696014,1.0518052577972412,1.0438840985298157,240,0.7503961324691772,0.7663899660110474,0.7663899660110474,0.7663899660110474,0.1371839165687561,0.24063267230987545,0.28823763132095337,0.2662085823714733,240,0.9580669403076172,1.0003352165222168,1.0003352165222168,1.0003352165222168,0.7234441310167312,0.8505460238456726,0.8911510705947876,0.873432731628418
13.0,0.845459657907486,0.8723385035991669,0.8723385035991669,0.8723385035991669,0.3964254095219075,0.5120066172257065,0.5565264150500298,0.5360033113509416,260,0.775908887386322,0.7972307801246643,0.7972307801246643,0.7972307801246643,0.18819718807935715,0.3025674730539321,0.3618526756763458,0.33702364563941956,260,1.002576720714569,1.0542068481445312,1.0542068481445312,1.0542068481445312,0.7797136008739469,0.9534463489055633,0.9905758500099182,0.9719368189573288,260,0.737113356590271,0.7400857210159302,0.7400857210159302,0.7400857210159302,0.09682824723422526,0.13956226602196692,0.1624506115913391,0.1509339228272438,260,0.8662396669387817,0.8978306651115417,0.8978306651115417,0.8978306651115417,0.5209626019001007,0.6524503809213639,0.7112265229225159,0.6841188579797745
14.0,0.840472062677145,0.8687242418527603,0.8687242418527603,0.8687242418527603,0.3871083400212228,0.5010745469480753,0.542320616543293,0.5219938249327243,280,0.7684851288795471,0.793523371219635,0.793523371219635,0.793523371219635,0.1688128478825092,0.2944717779755592,0.3564024269580841,0.3277352273464203,280,0.9994880557060242,1.0559827089309692,1.0559827089309692,1.0559827089309692,0.7759474039077757,0.9563448399305343,0.9931459426879883,0.975684741139412,280,0.7342662215232849,0.740784227848053,0.740784227848053,0.740784227848053,0.09120444245636464,0.11199920654296874,0.12520021200180054,0.11855040825903415,280,0.8596488445997238,0.884606659412384,0.884606659412384,0.884606659412384,0.5124686658382416,0.6414823633432388,0.6945338845252991,0.6660049229860305
15.0,0.8377919048070908,0.8674758970737457,0.8674758970737457,0.8674758970737457,0.3830055749975144,0.49538928736001253,0.5322979763150215,0.514158439822495,300,0.7685008645057678,0.7935434579849243,0.7935434579849243,0.7935434579849243,0.16881640180945393,0.2944792583584785,0.3564114570617676,0.327743661403656,300,0.9994880557060242,1.0559827089309692,1.0559827089309692,1.0559827089309692,0.7759474039077757,0.9563448399305343,0.9931459426879883,0.975684741139412,300,0.7283449769020081,0.7296329736709595,0.7296329736709595,0.7296329736709595,0.08828497119247913,0.08945659384131431,0.09038129448890686,0.08988006487488746,300,0.854833722114563,0.8907444477081299,0.8907444477081299,0.8907444477081299,0.4989735230803488,0.6412764573097228,0.6892532110214233,0.6633252918720245
16.0,0.8162312708795071,0.8434923887252808,0.8434923887252808,0.8434923887252808,0.3352537358179688,0.45417837455868715,0.49514457024633884,0.4747917912900448,320,0.77003034055233,0.7890843749046326,0.7890843749046326,0.7890843749046326,0.1532739333808422,0.2836489653587341,0.3519369661808014,0.3208569914102554,320,0.9117406606674194,0.9643436670303345,0.9643436670303345,0.9643436670303345,0.5969180494546888,0.8026302766799926,0.8480338454246521,0.8245653003454209,320,0.7283111214637756,0.7296267151832581,0.7296267151832581,0.7296267151832581,0.08817080408334732,0.08903518676757813,0.09049547463655472,0.08960308730602265,320,0.8548429608345032,0.890914797782898,0.890914797782898,0.890914797782898,0.5026521563529968,0.6413990694284439,0.6901119947433472,0.6641417860984802
17.0,0.8128068976104259,0.8372743874788284,0.8372743874788284,0.8372743874788284,0.3259599277749657,0.44316014550626276,0.48285374604165554,0.464221474993974,340,0.7700291335582733,0.789082944393158,0.789082944393158,0.789082944393158,0.15327415019273757,0.2836484587192535,0.35193634033203125,0.3208563968539238,340,0.9105271965265274,0.9554860591888428,0.9554860591888428,0.9554860591888428,0.6044249296188352,0.7963406914472579,0.8422200679779053,0.8185536980628967,340,0.7281911969184875,0.7296136021614075,0.7296136021614075,0.7296136021614075,0.08819937035441398,0.08919838517904281,0.0904831513762474,0.0896658007055521,340,0.8424800634384155,0.8749149441719055,0.8749149441719055,0.8749149441719055,0.45794126093387605,0.6034530466794967,0.6467754244804382,0.6278100043535233
18.0,0.8069193236529827,0.8269749879837036,0.8269749879837036,0.8269749879837036,0.3067745371721684,0.42116553056985134,0.45588917657732964,0.43985636346042156,360,0.7699982911348343,0.789042592048645,0.789042592048645,0.789042592048645,0.1532488130033016,0.28363379120826715,0.3519183397293091,0.3208377599716187,360,0.9010688364505768,0.9385071992874146,0.9385071992874146,0.9385071992874146,0.5710579484701155,0.7749601256847382,0.8227531909942627,0.7981327086687088,360,0.7296892404556274,0.7315612435340881,0.7315612435340881,0.7315612435340881,0.0885975170880556,0.09131550207734108,0.09321777522563934,0.09224760681390762,360,0.8269209265708923,0.8487889170646667,0.8487889170646667,0.8487889170646667,0.41419387012720094,0.5347527033090591,0.5556674003601074,0.5482073783874511
19.0,0.793262891471386,0.8074480891227722,0.8074480891227722,0.8074480891227722,0.2762474165298044,0.3844704646617174,0.4228869806975126,0.4050601401366294,380,0.7714591473340988,0.790574312210083,0.790574312210083,0.790574312210083,0.15499002709984777,0.2841179940104484,0.35305383801460266,0.3219741716980934,380,0.8443944305181502,0.8667506575584412,0.8667506575584412,0.8667506575584412,0.4518744841217994,0.6345741897821426,0.6960473656654358,0.6681825757026673,380,0.729594886302948,0.7315200567245483,0.7315200567245483,0.7315200567245483,0.08863276056945324,0.09127956509590149,0.09314229339361191,0.09220752902328969,380,0.8276031017303467,0.8409473299980164,0.8409473299980164,0.8409473299980164,0.4094923943281172,0.527910109758377,0.5493044257164001,0.537876284122467
20.0,0.7862529881298541,0.805282324552536,0.805282324552536,0.805282324552536,0.26206350130960343,0.3743014683946967,0.4196368679404259,0.3984539876691997,400,0.769983235001564,0.7890263795852661,0.7890263795852661,0.7890263795852661,0.15324788093566893,0.28362789988517756,0.35191109776496887,0.3208308517932892,400,0.8484334230422973,0.8804005980491638,0.8804005980491638,0.8804005980491638,0.4633940652012824,0.6569279068708419,0.7184906005859375,0.6916577637195587,400,0.7287066578865051,0.7301680445671082,0.7301680445671082,0.7301680445671082,0.08835132531821728,0.08906874820590019,0.09001398086547852,0.08935714028775692,400,0.7978886365890503,0.821534276008606,0.821534276008606,0.821534276008606,0.34326073378324506,0.4675813186168671,0.5181317925453186,0.491970194876194
21.0,0.7771425724029541,0.794809564948082,0.794809564948082,0.794809564948082,0.23365070605650545,0.34506073758006095,0.39121786691248417,0.3692481360398233,420,0.7699643641710281,0.7890045642852783,0.7890045642852783,0.7890045642852783,0.15324861779808996,0.28362009853124615,0.3519013822078705,0.3208220899105072,420,0.8297618478536606,0.8612020015716553,0.8612020015716553,0.8612020015716553,0.39253166019916536,0.6036679124832153,0.6668605208396912,0.6373735725879669,420,0.729522168636322,0.7305126190185547,0.7305126190185547,0.7305126190185547,0.08835105411708355,0.0888828706741333,0.09019137173891068,0.08925593309104443,420,0.7793219089508057,0.7985190749168396,0.7985190749168396,0.7985190749168396,0.3004714921116829,0.404072068631649,0.45591819286346436,0.42954094856977465
22.0,0.7783499039709568,0.7949859946966171,0.7949859946966171,0.7949859946966171,0.2301991815678775,0.33893263086676595,0.38320522382855415,0.36211381303146484,440,0.7707145929336547,0.7897161245346069,0.7897161245346069,0.7897161245346069,0.15334637612104407,0.2838760164380073,0.3523472547531128,0.32135163247585297,440,0.8283722400665283,0.8506933450698853,0.8506933450698853,0.8506933450698853,0.38844662606716157,0.594612175822258,0.6552567481994629,0.626508229970932,440,0.7300115019083023,0.7321544885635376,0.7321544885635376,0.7321544885635376,0.08818600736558438,0.08889479786157609,0.08988262712955475,0.08930776752531529,440,0.7843012809753418,0.8073800206184387,0.8073800206184387,0.8073800206184387,0.29081771671772,0.38834753334522243,0.4353342652320862,0.411287622153759
23.0,0.7790254682302475,0.7951956689357758,0.7951956689357758,0.7951956689357758,0.23167817378416647,0.3459046934358775,0.38837854005396366,0.36699126902967694,460,0.7791930437088013,0.8007994890213013,0.8007994890213013,0.8007994890213013,0.16718444824218748,0.31634735673666,0.3784105181694031,0.34492205232381823,460,0.8245017528533936,0.8481385707855225,0.8481385707855225,0.8481385707855225,0.3808072179555889,0.5927720540761947,0.6531890034675598,0.6243032515048981,460,0.729801607131958,0.7318955063819885,0.7318955063819885,0.7318955063819885,0.08822288550436497,0.08911630235612393,0.08999717980623245,0.08946164920926095,460,0.7826054692268372,0.7999491095542908,0.7999491095542908,0.7999491095542908,0.2904981434345245,0.38538306057453153,0.4319174587726593,0.4092781230807304
24.0,0.7729433320462704,0.7892514318227768,0.7892514318227768,0.7892514318227768,0.22693433240056035,0.328564490955323,0.36434146761894226,0.3467039940878749,480,0.7583604454994202,0.7758433818817139,0.7758433818817139,0.7758433818817139,0.1411844313144684,0.23536189898848534,0.2682316303253174,0.2521186999976635,480,0.8285384029150009,0.8558376431465149,0.8558376431465149,0.8558376431465149,0.39076971709728237,0.6079083323478699,0.6717990636825562,0.6409963995218277,480,0.7295853018760681,0.7316383123397827,0.7316383123397827,0.7316383123397827,0.08805344849824906,0.08884856261312962,0.08996555209159851,0.08930145800113679,480,0.7752891778945923,0.7936863899230957,0.7936863899230957,0.7936863899230957,0.28772973269224167,0.38213916987180707,0.427369624376297,0.4043994188308716
25.0,0.7717665582895279,0.7866683006286621,0.7866683006286621,0.7866683006286621,0.2253013641573488,0.3318554487451911,0.3742065876722336,0.35388073613867166,500,0.7604154348373413,0.7774059772491455,0.7774059772491455,0.7774059772491455,0.14614296481013292,0.26547612190246583,0.3249608874320984,0.296877521276474,500,0.8228036165237427,0.8457132577896118,0.8457132577896118,0.8457132577896118,0.3787083759903906,0.5901504105329514,0.6532862782478333,0.6236295610666275,500,0.7285587787628174,0.7297637462615967,0.7297637462615967,0.7297637462615967,0.08834828101098538,0.08962414965033531,0.09090167284011841,0.0903637420386076,500,0.7752884030342102,0.7937902212142944,0.7937902212142944,0.7937902212142944,0.28800583481788633,0.3821711128950119,0.4276775121688843,0.40465212017297747
26.0,0.7518932968378067,0.7605956345796585,0.7605956345796585,0.7605956345796585,0.16342326896265147,0.22141905715689061,0.2480036113411188,0.23516175970435144,520,0.7604497671127319,0.7774738669395447,0.7774738669395447,0.7774738669395447,0.14616469442844382,0.2653805136680603,0.32487937808036804,0.2968301147222519,520,0.7449469566345215,0.7578875422477722,0.7578875422477722,0.7578875422477722,0.15404474288225173,0.1948007635772228,0.2095545530319214,0.20039376467466355,520,0.7307565212249756,0.7314935922622681,0.7314935922622681,0.7314935922622681,0.08880482204258441,0.09052637793123722,0.09232193976640701,0.09161474257707596,520,0.7714199423789978,0.7755275368690491,0.7755275368690491,0.7755275368690491,0.2646788164973259,0.33496857345104214,0.3652585744857788,0.3518084168434143
27.0,0.748251885175705,0.7588820308446884,0.7588820308446884,0.7588820308446884,0.15405909819528457,0.20560494869947432,0.23181850276887417,0.21887163147330285,540,0.7604529857635498,0.7774751782417297,0.7774751782417297,0.7774751782417297,0.14616453349590294,0.26538095593452454,0.324879914522171,0.2968305915594101,540,0.7339726686477661,0.7537913918495178,0.7537913918495178,0.7537913918495178,0.11668904423713683,0.12859285101294518,0.13896974921226501,0.13265532702207566,540,0.7307195663452148,0.7314556241035461,0.7314556241035461,0.7314556241035461,0.08884457014501095,0.09054122313857078,0.09231787174940109,0.09160915315151215,540,0.7678623199462891,0.77280592918396,0.77280592918396,0.77280592918396,0.2645382449030876,0.3379047647118568,0.37110647559165955,0.35439145416021345
28.0,0.7422999739646912,0.7533742487430573,0.7533742487430573,0.7533742487430573,0.12783263139426707,0.1915239171683788,0.2211208324879408,0.2069800628349185,560,0.758751392364502,0.7760494351387024,0.7760494351387024,0.7760494351387024,0.14377710893750187,0.25753991574048996,0.31679460406303406,0.2892950475215912,560,0.7280929684638977,0.7465795278549194,0.7465795278549194,0.7465795278549194,0.11255036070942878,0.11733089298009872,0.11977321654558182,0.11859420575201511,560,0.7307040691375732,0.7314342260360718,0.7314342260360718,0.7314342260360718,0.0888528935611248,0.09053914606571198,0.0923151820898056,0.09160660095512867,560,0.7516514658927917,0.7594338059425354,0.7594338059425354,0.7594338059425354,0.16615016236901284,0.3006857138872146,0.3556003272533417,0.328424397110939
29.0,0.7414919584989548,0.7563816756010056,0.7563816756010056,0.7563816756010056,0.12387463850900529,0.1905568816140294,0.2251079622656107,0.20909082880243662,580,0.7587428689002991,0.776027500629425,0.776027500629425,0.776027500629425,0.14377430304884908,0.25753261417150497,0.31678563356399536,0.2892868682742119,580,0.7293740510940552,0.7330660820007324,0.7330660820007324,0.7330660820007324,0.11260181404650212,0.11581134147942065,0.11839663237333298,0.1172765165567398,580,0.7291838526725769,0.7302591800689697,0.7302591800689697,0.7302591800689697,0.08825786486268043,0.08903147764503956,0.08971484005451202,0.0892351906746626,580,0.7486670613288879,0.786173939704895,0.786173939704895,0.786173939704895,0.15086457207798953,0.2998520931601524,0.3755347430706024,0.3405647397041321
30.0,0.7333188056945801,0.7484404742717743,0.7484404742717743,0.7484404742717743,0.1111702537164092,0.14110590524971484,0.15452222153544426,0.14735315106809138,600,0.7384418845176697,0.7671176791191101,0.7671176791191101,0.7671176791191101,0.1098291628062725,0.16789670810103416,0.19259361922740936,0.17926069870591163,600,0.7281957268714905,0.7297632694244385,0.7297632694244385,0.7297632694244385,0.11251134462654591,0.11431510239839554,0.11645082384347916,0.11544560343027115,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
