sequence,keyframes,condition,trial,target_rotation_rms_deg,target_translation_rms_mm,actual_rotation_rms_deg,actual_rotation_p95_deg,actual_translation_rms_mm,actual_translation_p95_mm,clean_points,reconstruction_points,chamfer_l1_mm,pred_to_ref_mean_mm,ref_to_pred_mean_mm,precision_2mm,recall_2mm,fscore_2mm,precision_5mm,recall_5mm,fscore_5mm,precision_10mm,recall_10mm,fscore_10mm
capture_001,164,1deg_1mm,12,1.0,1.0,0.9999999999999998,1.5033040853977317,0.9999999999999998,1.6528517657246014,45532,46765,0.8087451613079204,0.8190121818716236,0.7984781407442172,0.9760718486047257,0.9779056487744883,0.9769878881824959,0.9966427884101358,0.9966397259070544,0.9966412571562424,1.0,1.0,1.0
capture_001,164,1deg_1mm,13,1.0,1.0,1.0000000000000002,1.6651216371912494,1.0,1.543267781750522,45532,45784,0.7802491252058145,0.782391325148323,0.778106925263306,0.984055565262974,0.9840112448387947,0.9840334045518413,0.9993010658745414,0.9992532724237898,0.9992771685776991,1.0,1.0,1.0
capture_001,164,1deg_1mm,14,1.0,1.0,1.0000000000000002,1.5192394816205956,0.9999999999999998,1.59842533964329,45532,46302,0.7911503811101348,0.799048591429584,0.7832521707906858,0.9792665543605028,0.98240797680752,0.980834750249578,0.9977538767223878,0.9978476675744531,0.9978007699443923,1.0,0.9999560748484583,0.9999780369418638
capture_001,164,1deg_1mm,15,1.0,1.0,1.0,1.618162989498208,0.9999999999999998,1.6468348958899008,45532,46180,0.8062695554593158,0.812189731667445,0.8003493792511864,0.9754006063230836,0.9763023807432135,0.9758512852030106,0.998354265915981,0.998242993938329,0.9982986268265164,1.0,1.0,1.0
capture_001,164,1deg_1mm,16,1.0,1.0,1.0,1.7060791132877404,1.0,1.5886391906325792,45532,46423,0.7900768921605976,0.7979233272468971,0.7822304570742981,0.9771234086551924,0.9788720021084073,0.9779969237902256,0.9973935333778515,0.9972986031801809,0.9973460660200856,0.999956917907072,0.9999560748484583,0.9999564963775874
capture_001,164,1deg_1mm,17,1.0,1.0,1.0,1.6007541543794976,1.0,1.5017263618636567,45532,45981,0.7963649354533009,0.8006701342713171,0.792059736635285,0.9784258715556425,0.9799262057454098,0.9791754639319382,0.9979991735716927,0.998067293332162,0.9980332322895659,1.0,1.0,1.0
capture_001,164,1deg_1mm,18,1.0,1.0,1.0,1.4508428202373047,0.9999999999999998,1.6532584667226862,45532,46310,0.7686281457083496,0.7753910247433258,0.7618652666733734,0.9760526884042323,0.9780813493806554,0.9770659658773287,0.998423666594688,0.9982869190898709,0.9983552881596077,1.0,1.0,1.0
capture_001,164,1deg_1mm,19,1.0,1.0,1.0,1.693466985271284,1.0,1.7060475821023768,45532,46281,0.755589134884995,0.76340178959501,0.74777648017498,0.9791707180052289,0.9826495651409998,0.9809070570965449,0.9990276787450574,0.9989238337872266,0.9989757535674341,1.0,1.0,1.0
capture_001,164,2deg_2mm,0,2.0,2.0,2.0000000000000004,3.1409928085574017,2.0,3.145633108569215,45532,47748,1.0653497383094181,1.091887260818744,1.038812215800092,0.8978805394990366,0.9175744531318633,0.907620677298798,0.9898006199212532,0.9892383378722657,0.9895193990193267,0.998010387869649,0.9978915927259949,0.9979509867625066
capture_001,164,2deg_2mm,1,2.0,2.0,2.0,3.0262768547276244,2.0,3.2013008249504757,45532,47368,0.9884414479357294,1.007005808470291,0.9698770874011678,0.9238515453470697,0.9351884389001142,0.9294854245089839,0.9913021449079548,0.9908635684793112,0.9910828081736525,0.9984799864887688,0.9984186945444962,0.9984493395759982
capture_001,164,2deg_2mm,2,2.0,2.0,2.0000000000000004,3.37773327201898,2.0,3.104222165879492,45532,48216,1.0519479111413912,1.0797893035532977,1.0241065187294849,0.8968184834909574,0.9169595010102785,0.9067771647308829,0.9908536585365854,0.9902046912061847,0.9905290685750218,0.9984859797577568,0.9984406571202671,0.9984633179246861
capture_001,164,2deg_2mm,3,2.0,2.0,1.9999999999999998,3.203706172754391,2.0000000000000004,3.081963563442063,45532,48394,1.0709652445005309,1.1025118428435485,1.0394186461575132,0.893168574616688,0.9169375384345076,0.9048969983705262,0.9891308839938835,0.9882939471141176,0.9887122384389644,0.9967557961730793,0.9968154265132215,0.9967856104513394
capture_001,164,2deg_2mm,4,2.0,2.0,1.9999999999999998,3.371131143968447,2.0000000000000004,3.055352882611273,45532,48341,1.0302910030517176,1.0621314859569255,0.9984505201465095,0.90521503485654,0.92517350434859,0.9150854565019766,0.9923253552884714,0.99207151014671,0.9921984164815854,0.9973107713948822,0.9971448651497847,0.9972278113719838
capture_001,164,2deg_2mm,5,2.0,2.0,1.9999999999999998,3.2979510540195465,2.0,3.3839476258586023,45532,47945,1.0336422356746766,1.0613941496896548,1.0058903216596984,0.9064344561476692,0.9299393832908723,0.9180364923966468,0.9908853895088122,0.9902046912061847,0.9905449234142601,0.9976639899885286,0.9974303786348063,0.9975471706345538
capture_001,164,2deg_2mm,6,2.0,2.0,2.0,3.2812050681928007,2.0000000000000004,3.577583682866293,45532,47916,1.0337225461996078,1.0584075138257192,1.0090375785734966,0.9033516988062442,0.9192875340419925,0.9112499507327176,0.992653810835629,0.9921813230255644,0.9924175106929962,0.9980173637198431,0.9979135553017658,0.9979654568112651
capture_001,164,2deg_2mm,7,2.0,2.0,2.0,3.407786993137575,2.0,3.150817640612181,45532,48552,1.0226159075560886,1.0523165338144944,0.9929152812976831,0.9139891250617894,0.9366818940525344,0.9251963811655817,0.989475201845444,0.9884257225687428,0.9889501837789025,0.9980433349810512,0.9978915927259949,0.9979674580853711
capture_001,164,2deg_2mm,8,2.0,2.0,2.0,3.022109276150059,2.0,3.1297332784717034,45532,48660,1.0636462928678607,1.0999356980028225,1.027356887732899,0.8946568023016852,0.9225599578318545,0.908394155185726,0.9895396629675298,0.9888869366599314,0.9892131921393714,0.9966296752979861,0.9964201001493456,0.9965248767049387
capture_001,164,2deg_2mm,9,2.0,2.0,2.0,3.017782089813552,2.0000000000000004,3.2805789113672086,45532,48362,1.0503937743851324,1.083539513100592,1.0172480356696727,0.8966750754724784,0.919770710708952,0.9080760655963208,0.9887308217195319,0.9878986207502416,0.9883145460481677,0.9981803895620529,0.9981331810594747,0.9981567847525742
capture_001,164,2deg_2mm,10,2.0,2.0,1.9999999999999998,3.2221814897439405,2.0,2.8618885322917045,45532,48084,1.0212512138381489,1.0473538646852691,0.9951485629910285,0.9117793860743698,0.9309276992005623,0.9212540537120398,0.9916188337076782,0.9908196433277695,0.9912190774269081,0.9983570418434407,0.9983747693929544,0.9983659055395026
capture_001,164,2deg_2mm,11,2.0,2.0,2.0,3.045076841578117,1.9999999999999998,3.262270142369393,45532,47352,1.0499495360412237,1.0657740756577754,1.0341249964246721,0.9098242946443656,0.9212202407098304,0.9154868049714623,0.9887861125190066,0.9882939471141176,0.9885399685578425,0.997022301064369,0.9967934639374506,0.9969078693686958
capture_001,164,2deg_2mm,12,2.0,2.0,2.0,3.1800737252545335,2.0,3.2073291623264506,45532,47389,1.0072139212732243,1.025914086983528,0.9885137555629205,0.9217328915993163,0.9322674163225864,0.9269702251063898,0.9896600476903923,0.9894140384784328,0.9895370277942996,0.9988393931081052,0.9989238337872266,0.998881611663113
capture_001,164,2deg_2mm,13,2.0,2.0,2.0,3.1823921719714106,2.0,3.2492727965024604,45532,47986,1.0472706068717914,1.0735503601961551,1.0209908535474275,0.9037635977160005,0.9216375296494773,0.9126130548503039,0.9896219730754804,0.9891944127207238,0.9894081467068895,0.9968740882757471,0.9966616884828252,0.9967678770642969
capture_001,164,2deg_2mm,14,2.0,2.0,2.0,3.3057309901823304,2.0,3.159536959451361,45532,48582,1.0578959761742646,1.090909167932704,1.024882784415825,0.8956197768720926,0.921681454801019,0.9084637422889476,0.9905932238277552,0.9898313274180796,0.990212129066933,0.9969536042155531,0.9966836510585961,0.9968186093602526
capture_001,164,2deg_2mm,15,2.0,2.0,1.9999999999999998,3.238009307334876,1.9999999999999998,3.0320428170422824,45532,47937,1.0251783244591937,1.053115794724866,0.9972408541935214,0.9122181196153285,0.9347931125362382,0.9233676552728094,0.9897782506206062,0.9888869366599314,0.9893323928886254,0.9971629430293928,0.9966836510585961,0.9969232394365551
capture_001,164,2deg_2mm,16,2.0,2.0,2.0000000000000004,3.1384761838989617,2.0,3.260742794654893,45532,47801,1.0260145561115515,1.0492248396012618,1.0028042726218407,0.9116754879605029,0.9261618202582799,0.9188615615086201,0.9913600133888413,0.9912588948431872,0.9913094515373643,0.9973431518169076,0.9972107528770974,0.9972769479526667
capture_001,164,2deg_2mm,17,2.0,2.0,2.0,3.325984402055996,2.0,3.189564820461834,45532,48254,1.0192876079319255,1.0499301581252451,0.9886450577386056,0.9016454594437767,0.9240534129842748,0.9127119227419367,0.9926223732747544,0.9923350610559606,0.9924786963718861,0.9995855265884693,0.9995607484845823,0.9995731373829717
capture_001,164,2deg_2mm,18,2.0,2.0,2.0,3.1127281367154347,2.0,3.128935086242404,45532,47602,1.0149852743109589,1.0312770841382188,0.9986934644836988,0.9188479475652284,0.9279407888957217,0.9233719834926247,0.9901684803159531,0.9894799262057454,0.9898240835156558,0.9977732028066048,0.9973644909074937,0.9975688049939194
capture_001,164,2deg_2mm,19,2.0,2.0,1.9999999999999993,3.01879356502026,2.0,3.617851587563517,45532,49550,1.0071106552840308,1.0483788030593184,0.9658425075087429,0.909263370332997,0.9413818852675042,0.9250439144708115,0.9920080726538849,0.9912149696916455,0.9916113625894148,0.9985065590312815,0.9981331810594747,0.9983198351339448
capture_001,164,5deg_5mm,0,5.0,5.0,4.999999999999999,8.008799997241349,4.999999999999999,7.98198299869667,45532,56626,1.4155656390304172,1.528082481465889,1.3030487965949453,0.7908557906262141,0.8871343231134148,0.8362329560260763,0.9682124818987744,0.9695598699815514,0.9688857075015861,0.9905520432310246,0.9882939471141176,0.9894217067958865
capture_001,164,5deg_5mm,1,5.0,5.0,4.999999999999999,7.671715191229193,5.000000000000001,8.196019378978999,45532,57154,1.4590598101775218,1.6285068886477025,1.2896127317073414,0.7604542114287713,0.8832469472019678,0.8172639621314933,0.959862826748784,0.9728762189229553,0.9663257123752029,0.9911642229765196,0.9886453483264517,0.9899031832929572
capture_001,164,5deg_5mm,2,5.0,5.0,5.0,7.560615742262749,5.0,7.637853056543479,45532,57060,1.4605835187150502,1.6200716083298823,1.3010954291002181,0.7622853137048721,0.8798866731090222,0.8168750825386717,0.9609533824044865,0.972546780286392,0.9667153239461274,0.990571328426218,0.9875252569621366,0.9890459473710437
capture_001,164,5deg_5mm,3,5.0,5.0,5.0,7.720256821807418,5.0,8.037883773577434,45532,58259,1.4541813609962937,1.6189354296689,1.2894272923236874,0.7568616007827117,0.8908899235702363,0.8184248215935814,0.9641943734015346,0.9721075287709743,0.9681347815964061,0.9916922707221202,0.9869542299920935,0.9893175775322867
capture_001,164,5deg_5mm,4,5.0,5.0,5.0,7.9043742772604775,5.0,7.953371451116192,45532,55998,1.4450104119223541,1.5869233743208326,1.3030974495238756,0.7773491910425372,0.8819731178072564,0.8263627698996935,0.9659094967677417,0.9726126680137046,0.9692494930198176,0.9890531804707311,0.9870201177194061,0.9880356032471856
capture_001,164,5deg_5mm,5,5.0,5.0,5.0,7.534630359019808,5.0,7.77366428819377,45532,58791,1.5187154502569316,1.7049524488911214,1.332478451622742,0.7535677229507918,0.8865852587191426,0.8146825839800501,0.9539215185997857,0.969450057102697,0.961623102223804,0.9893861305301832,0.9871299305982606,0.9882567428342022
capture_001,164,5deg_5mm,6,5.0,5.0,5.0,8.348700845288874,5.000000000000001,7.587384677634451,45532,56744,1.4031128244352038,1.5400163778849265,1.2662092709854813,0.7796242774566474,0.8917903891768426,0.8319436842147038,0.9684371915973495,0.9735570587718527,0.9709903761842167,0.991875793035387,0.9897654396907669,0.9908194926502762
capture_001,164,5deg_5mm,7,5.0,5.0,4.999999999999999,7.37413355455541,5.0,8.147463500536986,45532,57409,1.3871096699460799,1.5407949201155102,1.2334244197766493,0.7741643296347263,0.8920978652376351,0.8289575889503604,0.9669215628211605,0.9732935078626022,0.9700970721503969,0.9926143984392691,0.9903803918123517,0.9914961367297638
capture_001,164,5deg_5mm,8,5.0,5.0,5.000000000000001,7.629663731919216,5.0,7.637570422784223,45532,58041,1.4732079955866229,1.6385595039432248,1.3078564872300213,0.7625988525352768,0.8893086181147325,0.8210940912533901,0.9651108699023104,0.974677150136168,0.9698704214320927,0.990523939973467,0.9876350698409909,0.989077395478563
capture_001,164,5deg_5mm,9,5.0,5.0,5.0,8.355030007511893,5.0,7.493770201777924,45532,56288,1.3932367462688329,1.5340862867791414,1.2523872057585244,0.7744279420125071,0.8876394623561451,0.8271780076725302,0.970597640704946,0.9773565843802161,0.9739653865689886,0.9918277430358158,0.9904682421154353,0.9911475263882433
capture_001,164,5deg_5mm,10,5.0,5.0,5.0,8.054033392043223,5.0,8.142651045028831,45532,59038,1.4767936948478793,1.6827542897946395,1.2708330999011188,0.7407263118669332,0.8884520776596679,0.8078916771619926,0.9616518174734916,0.9763243433189844,0.9689325371395555,0.9908702869338393,0.9887112360537644,0.9897895840983149
capture_001,164,5deg_5mm,11,5.0,5.0,5.0,8.281299224389041,5.0,7.4406267161637905,45532,56606,1.3815790471235445,1.5333653193188765,1.2297927749282127,0.7770024379041091,0.8951506632697883,0.8319025897375324,0.9692788750309155,0.9788500395326364,0.974040945698627,0.9919796488004805,0.9899850654484758,0.9909813534833135
capture_001,164,5deg_5mm,12,5.0,5.0,5.0,8.363838428879816,5.0,8.574007440898766,45532,58094,1.4899158079806292,1.6356854745012483,1.3441461414600095,0.7672048748579888,0.886892734779935,0.8227185936726465,0.9604434192859848,0.9653210928577703,0.9628760788629502,0.9898268323751162,0.987064042870948,0.9884435070648155
capture_001,164,5deg_5mm,13,5.0,5.0,5.0,7.956388138094766,4.999999999999999,7.901463983174007,45532,58482,1.4299788747540016,1.6012899517330315,1.2586677977749718,0.7575664306966245,0.8855969428094527,0.8165938041431381,0.9639205225539482,0.973117807256435,0.968497330013079,0.9919462398686776,0.9891285249934112,0.9905353785901851
capture_001,164,5deg_5mm,14,5.0,5.0,4.999999999999999,8.170736939261088,5.0,7.2293669660286834,45532,56575,1.3984775272605265,1.534784190356887,1.2621708641641658,0.7802386212991604,0.8914609505402794,0.8321498368588345,0.9686433937251436,0.9718000527101819,0.9702191556355036,0.991427308882015,0.9886892734779935,0.9900563981505887
