scenario,planner,object,initial_pose_seed,f@5_auc,recall@5_auc,target_recall@5_auc,final_target_recall@5,target_surface_point_count,target_first_25_step,post_outlier_oracle_regret,post_outlier_f@5_auc,post_outlier_unique_gain,ghost_ratio,miss_direction_selection_rate,planning_time_s,mean_visibility_ratio,mean_pose_error_deg,mean_translation_error_mm,cuda_steps,states,actions,gain_consistency_error,scheduled_outlier_events
ghost,ray_gpis,green_Pepper,18,0.802319859191661,0.7830533333333334,nan,nan,0,6,0.0075549276835528145,0.8520477594274518,0.11498333333333333,0.5204081632653061,0.6,0.23699318559956736,1.0,2.4999999999978297,1.3333333333325341,5,6,5,0.0,1
ghost,ray_gpis,green_Pepper,19,0.8489476678185733,0.7905300000000001,nan,nan,0,6,0.00944834036173256,0.9050484522673398,0.10136666666666666,0.1638418079096045,0.8,0.23538334280019627,1.0,2.49999999999737,1.3333333333325794,5,6,5,0.0,1
ghost,ray_gpis,green_Pepper,20,0.8494001047392491,0.8192433333333333,nan,nan,0,6,1.2738194863137764e-05,0.9085063921179862,0.10170000000000001,0.29775280898876405,0.6,0.22985777359863277,1.0,2.499999999997621,1.333333333332703,5,6,5,0.0,1
ghost,ray_gpis,green_Pepper,21,0.8810496040943935,0.8395566666666665,nan,nan,0,6,0.002721464702414772,0.9215718237555823,0.06901666666666667,0.22580645161290322,0.4,0.2258945604058681,1.0,2.4999999999983875,1.3333333333295234,5,6,5,0.0,1
ghost,ray_gpis,green_Pepper,22,0.8094585470269721,0.78573,nan,nan,0,6,4.216587081598555e-05,0.8550666307671516,0.11688333333333334,0.48947368421052634,0.6,0.2255433459940832,1.0,2.4999999999988307,1.3333333333326418,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Bowl,15,0.7700955829586305,0.6730533333333334,nan,nan,0,6,0.030191876290396852,0.8197005297196303,0.058291666666666686,0.2383177570093458,1.0,0.39049020580132493,1.0,2.4999999999987725,1.3333333333327722,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Bowl,16,0.8400741177254867,0.7388,nan,nan,0,6,0.03731923032565329,0.8813766558185157,0.07497500000000001,0.0189873417721519,1.0,0.26303021179919595,1.0,2.499999999998384,1.333333333332475,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Bowl,17,0.7178426588458043,0.6057433333333334,nan,nan,0,6,0.07275144183300769,0.7505809304594377,0.046725,0.3607305936073059,1.0,0.38589049120200797,1.0,2.4999999999987605,1.3333333333326662,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Bowl,18,0.7062607709643254,0.58214,nan,nan,0,6,0.13150396235438727,0.7204812842459132,0.02007500000000001,0.33620689655172414,1.0,0.3942610438039992,1.0,2.4999999999989964,1.333333333332557,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Bowl,19,0.8414851301040027,0.75452,nan,nan,0,6,0.03713308700215423,0.8881333062340225,0.05639166666666667,0.07983193277310924,1.0,0.39313915579987224,1.0,2.499999999997273,1.3333333333326463,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Bowl,20,0.8585479714647658,0.7655933333333333,nan,nan,0,6,0.04223546849848894,0.8968486292202814,0.04669166666666666,0.01762114537444934,1.0,0.3960152256011497,1.0,2.4999999999988476,1.3333333333327426,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Bowl,21,0.8550607263962793,0.81189,nan,nan,0,6,0.009162143377189708,0.898611023973836,0.07780833333333334,0.2558139534883721,1.0,0.376759505996597,1.0,2.4999999999982996,1.333333333331739,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Bowl,22,0.6750320339286009,0.5407399999999999,nan,nan,0,6,0.06374826527306515,0.7103277324038626,0.06995,0.3131868131868132,1.0,0.26936215779860506,1.0,2.499999999998402,1.3333333333328283,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Corner,15,0.8869377453182846,0.84132,nan,nan,0,6,0.0,0.925117661977217,0.07951666666666665,0.15789473684210525,0.4,0.24319707679096608,1.0,2.499999999998987,1.3333333333327582,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Corner,16,0.8315343296762052,0.81936,nan,nan,0,6,8.8132825756565e-05,0.8813443335328859,0.11858333333333335,0.44711538461538464,0.4,0.24106260539556387,1.0,2.499999999998534,1.3333333333325146,5,6,5,0.0,1
ghost,ray_gpis_uncertainty_only,Corner,17,0.8756796513692044,0.8382433333333333,nan,nan,0,6,0.0004939662540439094,0.9308390436641165,0.11377499999999999,0.1864406779661017,0.4,0.24133749440370594,1.0,2.499999999998602,1.333333333332385,5,6,5,0.0,1
