time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,Cube_picked_frame,Cube_unc_q95,Cube_unc_q99,Cube_unc_max,Cube_unc_top,Cube_score_q95,Cube_score_q99,Cube_score_max,Cube_score_top,L_Shaped_picked_frame,L_Shaped_unc_q95,L_Shaped_unc_q99,L_Shaped_unc_max,L_Shaped_unc_top,L_Shaped_score_q95,L_Shaped_score_q99,L_Shaped_score_max,L_Shaped_score_top
10.0,1.1070388952891033,1.1432559092839558,1.1432559092839558,1.1432559092839558,1.0449919283390046,1.1169973373413085,1.1341981490453084,1.1259497702121735,200,1.1641452312469482,1.2093086242675781,1.2093086242675781,1.2093086242675781,1.0716043293476105,1.1620161306858063,1.1913927793502808,1.1773679852485657,200,1.1237831115722656,1.140349268913269,1.140349268913269,1.140349268913269,1.1051759779453276,1.1347503328323365,1.138708472251892,1.136548900604248,200,1.0331883430480957,1.0801098346710205,1.0801098346710205,1.0801098346710205,0.9581954777240753,1.054225548505783,1.0724931955337524,1.0639324247837068
11.0,1.1154176433881124,1.1443705161412556,1.1443705161412556,1.1443705161412556,1.063987398147583,1.118656506538391,1.1345979770024617,1.1267279128233592,220,1.164141297340393,1.209248423576355,1.209248423576355,1.209248423576355,1.0716007471084594,1.1619599056243897,1.1913334131240845,1.1772698700428008,220,1.1347392916679382,1.150660514831543,1.150660514831543,1.150660514831543,1.1231967568397523,1.1449064719676971,1.1486705541610718,1.1469179153442384,220,1.0473723411560059,1.0732026100158691,1.0732026100158691,1.0732026100158691,0.9971646904945373,1.0491031420230865,1.063789963722229,1.0559959530830383
12.0,1.1219353119532267,1.157014528910319,1.157014528910319,1.157014528910319,1.0633029540379841,1.13419974843661,1.1491037607192993,1.1420706609884899,240,1.164141297340393,1.209248423576355,1.209248423576355,1.209248423576355,1.0716007471084594,1.1619599056243897,1.1913334131240845,1.1772698700428008,240,1.1347392916679382,1.150660514831543,1.150660514831543,1.150660514831543,1.1231967568397523,1.1449064719676971,1.1486705541610718,1.1469179153442384,240,1.0669253468513489,1.111134648323059,1.111134648323059,1.111134648323059,0.9951113581657409,1.095732867717743,1.1073073148727417,1.1020241975784302
13.0,1.10610267718633,1.134210427602132,1.134210427602132,1.134210427602132,1.0362406770388286,1.1003959087530772,1.118987758954366,1.1095613340536752,260,1.13994562625885,1.170459270477295,1.170459270477295,1.170459270477295,1.0316748976707457,1.1071673047542572,1.1459429264068604,1.1257623374462127,260,1.1402649879455566,1.1578103303909302,1.1578103303909302,1.1578103303909302,1.1266747176647187,1.1524986660480498,1.1557981967926025,1.1545394778251648,260,1.0380974173545834,1.0743616819381714,1.0743616819381714,1.0743616819381714,0.950372415781021,1.0415217554569245,1.0552221536636353,1.0483821868896483
14.0,1.1029040416081746,1.1308563947677612,1.1308563947677612,1.1308563947677612,1.0349086324373882,1.0954202298323314,1.1124343474706013,1.1036825160185495,280,1.1417516469955444,1.1749584674835205,1.1749584674835205,1.1749584674835205,1.0291277647018433,1.1127292692661286,1.1446781158447266,1.128361427783966,280,1.1402649879455566,1.1578103303909302,1.1578103303909302,1.1578103303909302,1.1266747176647187,1.1524986660480498,1.1557981967926025,1.1545394778251648,280,1.0266954898834229,1.059800386428833,1.059800386428833,1.059800386428833,0.9489234149456024,1.0210327541828155,1.036826729774475,1.028146642446518
15.0,1.090652624766032,1.1122092405954997,1.1122092405954997,1.1122092405954997,1.0108836938937504,1.0690466094017028,1.0870434443155925,1.077827109893163,300,1.1049973964691162,1.1190170049667358,1.1190170049667358,1.1190170049667358,0.9570529490709304,1.0336084079742431,1.0685054063796997,1.0507952094078064,300,1.1402649879455566,1.1578103303909302,1.1578103303909302,1.1578103303909302,1.1266747176647187,1.1524986660480498,1.1557981967926025,1.1545394778251648,300,1.0266954898834229,1.059800386428833,1.059800386428833,1.059800386428833,0.9489234149456024,1.0210327541828155,1.036826729774475,1.028146642446518
16.0,1.092686653137207,1.111168344815572,1.111168344815572,1.111168344815572,1.013356144229571,1.0681141877174376,1.0861035585403442,1.0768394867579143,320,1.1049973964691162,1.1190170049667358,1.1190170049667358,1.1190170049667358,0.9570529490709304,1.0336084079742431,1.0685054063796997,1.0507952094078064,320,1.146367073059082,1.1546876430511475,1.1546876430511475,1.1546876430511475,1.1340920686721803,1.1497014009952544,1.152978539466858,1.1515766084194183,320,1.0266954898834229,1.059800386428833,1.059800386428833,1.059800386428833,0.9489234149456024,1.0210327541828155,1.036826729774475,1.028146642446518
17.0,1.1003998517990112,1.1203999916712444,1.1203999916712444,1.1203999916712444,1.0148201992114385,1.0785686294237773,1.0960318644841511,1.0876972119013468,340,1.1049973964691162,1.1190170049667358,1.1190170049667358,1.1190170049667358,0.9570529490709304,1.0336084079742431,1.0685054063796997,1.0507952094078064,340,1.143395185470581,1.1624715328216553,1.1624715328216553,1.1624715328216553,1.131921523809433,1.1589916968345642,1.1614141464233398,1.160211205482483,340,1.0528069734573364,1.0797114372253418,1.0797114372253418,1.0797114372253418,0.955486124753952,1.0431057834625244,1.058176040649414,1.0520852208137512
18.0,1.1000939428806304,1.120608965555827,1.120608965555827,1.120608965555827,1.012310337026914,1.0778090246518452,1.0961556831995647,1.087584282954534,360,1.1035903692245483,1.1180477142333984,1.1180477142333984,1.1180477142333984,0.9539470106363295,1.0322095715999602,1.0674965381622314,1.0496433794498443,360,1.1438844859600068,1.1640677452087402,1.1640677452087402,1.1640677452087402,1.1274978756904601,1.1581117188930512,1.1627944707870483,1.1610242486000062,360,1.0528069734573364,1.0797114372253418,1.0797114372253418,1.0797114372253418,0.955486124753952,1.0431057834625244,1.058176040649414,1.0520852208137512
19.0,1.0963904678821563,1.1323128541310628,1.1323128541310628,1.1323128541310628,1.0186260660489401,1.0927764729658762,1.1118966738382976,1.103195744752884,380,1.102415680885315,1.1178414821624756,1.1178414821624756,1.1178414821624756,0.9516629636287689,1.0271227550506592,1.0672996044158936,1.0477600276470185,380,1.1438844859600068,1.1640677452087402,1.1640677452087402,1.1640677452087402,1.1274978756904601,1.1581117188930512,1.1627944707870483,1.1610242486000062,380,1.0428712368011475,1.1150293350219727,1.1150293350219727,1.1150293350219727,0.9767173588275909,1.0930949449539185,1.1055959463119507,1.1008029580116272
