planner,object,pairs,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
pb_nbv_d50_no_partition,Corner,15,0.7168259161045114,0.5668691111111112,0.5668691111111112,0.7796621650688472,0.6486977777777778,0.006353628141270747,-0.7666666666666667,0.13773329380387347,0.02666666666666667,0.3197799861599924
pb_nbv_d50_no_partition,Cross,15,0.6794131160719525,0.5235759999999999,0.5235759999999999,0.7703269782715043,0.637348888888889,0.007154867646516811,-0.7133333333333334,0.1504667978791937,0.05333333333333334,0.3172790574672399
pb_nbv_d50_no_partition,Cube,15,0.695257881029075,0.5423217777777778,0.5423217777777778,0.7529810680251801,0.61366,0.007938415741389237,-0.7133333333333334,0.15235683360111357,0.02666666666666667,0.2779809733729538
pb_nbv_d50_no_partition,Cylinder,15,0.6965521466983743,0.5502462222222222,0.5502462222222222,0.7547916650280855,0.6225466666666668,0.007745927786755535,-0.6316666666666667,0.14964590498548833,0.09333333333333332,0.31946750854733785
pb_nbv_d50_no_partition,L_Shaped,15,0.6829599611567456,0.528104,0.528104,0.7307041408451967,0.5873422222222222,0.008763897210965285,-0.7333333333333335,0.1625749265982174,0.04000000000000001,0.30264291714614955
pb_nbv_d50_no_partition,Thin_Irregular,15,0.665830015825266,0.5062500000000001,0.5062500000000001,0.7342132169265463,0.590331111111111,0.0107316826737361,-0.6800000000000002,0.15892149633209876,0.05333333333333334,0.4080904620538543
pb_nbv_d50_no_partition,green_Pepper,15,0.7013423080198391,0.5515697777777777,0.5515697777777777,0.7556644263306397,0.6197999999999999,0.007592339425181238,-0.6999999999999998,0.14551133455080392,0.06666666666666667,0.3040602628399695
pb_nbv_d70,Bowl,15,0.6799427344135905,0.5367346666666666,0.5367346666666666,0.7466941448997975,0.6231866666666667,0.006354868173950862,-0.5549999999999999,0.13731789758371923,0.06666666666666667,0.3382951041606915
pb_nbv_d70,Corner,15,0.7590459151941367,0.6274186666666666,0.6274186666666666,0.8748811563446883,0.7900333333333333,0.004754118360698149,-0.38666666666666666,0.10460239061730277,0.18666666666666668,0.3583347049204167
pb_nbv_d70,Cross,15,0.7372130661573187,0.6032346666666667,0.6032346666666667,0.8401737724269694,0.7430688888888889,0.005410061976883646,-0.44666666666666666,0.1135025990917594,0.17333333333333334,0.34891387722639294
pb_nbv_d70,Cube,15,0.7826782864646078,0.6647208888888888,0.6647208888888888,0.882077717021664,0.8035977777777779,0.004782216427442317,-0.3296438799159013,0.09348983398240364,0.1866666666666667,0.3369531833470683
pb_nbv_d70,Cylinder,15,0.7232490638914781,0.5826844444444444,0.5826844444444444,0.8435462672851245,0.7481377777777778,0.005589187222237974,-0.4366666666666667,0.12330133399797072,0.11999999999999998,0.35670695320023993
pb_nbv_d70,L_Shaped,15,0.786366621046066,0.6728088888888889,0.6728088888888889,0.8815193042468612,0.8101022222222221,0.004911667996617481,-0.20044658198738521,0.08617740136951152,0.31999999999999995,0.35684293804020856
pb_nbv_d70,Thin_Irregular,15,0.7576132869497173,0.6368844444444445,0.6368844444444445,0.8723550531351221,0.7938044444444444,0.005673384674205723,-0.2233333333333333,0.09831149273189868,0.2266666666666667,0.6735802804800916
pb_nbv_d70,green_Pepper,15,0.7541536479466973,0.6260168888888887,0.6260168888888887,0.8555128657736969,0.7655822222222223,0.005277166883789672,-0.27167735438137053,0.10370398295363864,0.25333333333333335,0.3359339283856873
