planner,object,initial_pose_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
ray_gpis,Corner,21,0.31640625,0.208984375,67.57091559428383,99.46033352093794
ray_gpis,Corner,22,0.359375,0.225,75.21070793417064,93.41928044967668
ray_gpis,Cross,15,0.33984375,0.22421875,63.208914885260015,98.59913915356542
ray_gpis,Cross,16,0.37890625,0.227734375,65.73462960758368,99.32822456595038
ray_gpis,Cross,17,0.34375,0.2296875,68.83369463079269,92.99255656157939
ray_gpis,Cross,18,0.3359375,0.21953125,64.24837329602727,94.67536606340767
ray_gpis,Cross,19,0.34375,0.218359375,74.81633166802155,95.00260374367976
ray_gpis,Cross,20,0.33984375,0.225390625,58.2884968493121,103.22390023376188
ray_gpis,Cross,21,0.3359375,0.21953125,68.09973438333833,94.52645871259583
ray_gpis,Cross,22,0.37109375,0.219921875,75.3995192203335,101.33811391124921
ray_gpis,Cube,15,0.39453125,0.228125,80.03176382341344,100.37672465784426
ray_gpis,Cube,16,0.3515625,0.21796875,63.47046697622818,96.9549005070792
ray_gpis,Cube,17,0.375,0.23203125,72.89146858284104,103.79653316201505
ray_gpis,Cube,18,0.32421875,0.221484375,52.16677622393504,95.33820444926549
ray_gpis,Cube,19,0.34765625,0.2234375,65.16588553655048,99.81157836357944
ray_gpis,Cube,20,0.38671875,0.230859375,79.30540967015324,103.28673599539866
ray_gpis,Cube,21,0.3671875,0.2328125,63.35822100207041,98.89928309073042
ray_gpis,Cube,22,0.3359375,0.2140625,66.33805855099607,101.85685528302564
ray_gpis,Cylinder,15,0.375,0.226953125,76.25753942108655,101.05449440395518
ray_gpis,Cylinder,16,0.328125,0.22265625,52.12850109193239,94.59656441212292
ray_gpis,Cylinder,17,0.3125,0.21875,66.08888035968201,91.08634608097057
ray_gpis,Cylinder,18,0.37109375,0.233984375,73.16454738349049,102.69357652246886
ray_gpis,Cylinder,19,0.3515625,0.217578125,65.84655196234299,100.48488149484264
ray_gpis,Cylinder,20,0.3203125,0.2125,65.7289376937284,85.51700032417726
ray_gpis,Cylinder,21,0.3359375,0.20390625,75.63082113358168,97.85985471860866
ray_gpis,Cylinder,22,0.34375,0.2171875,64.45303340779294,97.21837987838485
ray_gpis,L_Shaped,15,0.35546875,0.2125,69.65949619265244,96.78493746939053
ray_gpis,L_Shaped,16,0.36328125,0.226953125,72.72810039416503,96.8166231863224
ray_gpis,L_Shaped,17,0.375,0.22109375,78.88802376713943,96.41110223865795
ray_gpis,L_Shaped,18,0.38671875,0.228515625,74.89678914680593,102.60896798579135
ray_gpis,L_Shaped,19,0.37109375,0.21953125,74.3361039543415,95.20759846145037
ray_gpis,L_Shaped,20,0.30078125,0.174609375,55.11483433673535,99.82781116659193
ray_gpis,L_Shaped,21,0.3359375,0.20859375,72.69568250000636,98.81176864846277
ray_gpis,L_Shaped,22,0.36328125,0.214453125,75.56118753600805,101.05508609187102
ray_gpis,Thin_Irregular,15,0.359375,0.223046875,69.68953855417321,93.92222936630922
ray_gpis,Thin_Irregular,16,0.375,0.2265625,72.38642572941129,102.22025289594953
ray_gpis,Thin_Irregular,17,0.40234375,0.232421875,75.06308072528032,103.20445444270459
ray_gpis,Thin_Irregular,18,0.3359375,0.21484375,64.86488948824453,102.16568390611205
ray_gpis,Thin_Irregular,19,0.37890625,0.22109375,70.493570434632,97.0164616428419
ray_gpis,Thin_Irregular,20,0.3515625,0.228125,64.28365589041869,95.70017945300505
ray_gpis,Thin_Irregular,21,0.38671875,0.223828125,75.97854120162634,101.17661565939311
ray_gpis,Thin_Irregular,22,0.375,0.21953125,84.40145846380312,101.6696802982498
