object,initial_pose_seed,planner,selected_action,target_point_count,missing_patch_recall@5,selected_f@5_gain,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy,planning_time_s,gap_score_recovery_correlation,gap_oracle_regret_recall@5,gap_oracle_action_accuracy
Cross,17,pose_novelty,minus_x,2,0.0,0.20464830295066272,1.0,0.0,1.0,0.00041192500793840736,-0.5,1.0,0.0
Cross,17,actnerf,minus_x,2,0.0,0.20464830295066272,0.5,0.0,1.0,3.098934271009057,-1.0,1.0,0.0
Cross,17,pb_nbv,plus_z,2,0.5,0.013886495864707138,-1.0,0.19076180708595558,0.0,0.22847902399371378,0.5,0.5,0.0
Cross,17,ray_gpis,minus_x,2,0.0,0.20464830295066272,0.5,0.0,1.0,0.14364051198936068,-1.0,1.0,0.0
Cross,18,pose_novelty,minus_x,306,0.1895424836601307,0.20273791774165284,0.5,0.0,1.0,0.0001692400110187009,-1.0,0.7352941176470589,0.0
Cross,18,actnerf,plus_z,306,0.9248366013071896,0.128364463242286,0.5,0.07437345449936683,0.0,4.312191710996558,0.5,0.0,1.0
Cross,18,pb_nbv,plus_z,306,0.9248366013071896,0.128364463242286,0.5,0.07437345449936683,0.0,1.0187054549896857,0.5,0.0,1.0
Cross,18,ray_gpis,minus_x,306,0.1895424836601307,0.20273791774165284,0.5,0.0,1.0,0.182295892998809,-1.0,0.7352941176470589,0.0
Cross,19,pose_novelty,minus_x,247,0.5263157894736842,0.22831220973218547,1.0,0.0,1.0,0.00018118000298272818,-0.5,0.3603238866396762,0.0
Cross,19,actnerf,minus_x,247,0.5263157894736842,0.22831220973218547,1.0,0.0,1.0,3.1994970030063996,-0.5,0.3603238866396762,0.0
Cross,19,pb_nbv,plus_z,247,0.7773279352226721,0.13319426999569228,-0.5,0.09511793973649318,0.0,0.25040855699626263,-0.5,0.10931174089068829,0.0
Cross,19,ray_gpis,minus_y,247,0.8866396761133604,0.18119934379283942,0.5,0.04711286593934605,0.0,0.23619756702100858,0.5,0.0,1.0
Cross,20,pose_novelty,minus_x,31,0.8709677419354839,0.2562307204303442,1.0,0.0,1.0,0.00017157199908979237,0.5,0.0,1.0
Cross,20,actnerf,minus_x,31,0.8709677419354839,0.2562307204303442,1.0,0.0,1.0,3.320791332007502,0.5,0.0,1.0
Cross,20,pb_nbv,minus_x,31,0.8709677419354839,0.2562307204303442,0.5,0.0,1.0,1.2729300310020335,1.0,0.0,1.0
Cross,20,ray_gpis,minus_x,31,0.8709677419354839,0.2562307204303442,1.0,0.0,1.0,0.16022868400614243,0.5,0.0,1.0
Cross,21,pose_novelty,minus_x,356,0.49719101123595505,0.2502409286256928,1.0,0.0,1.0,0.00016767199849709868,-1.0,0.47191011235955055,0.0
Cross,21,actnerf,minus_x,356,0.49719101123595505,0.2502409286256928,0.5,0.0,1.0,3.707045934002963,-0.5,0.47191011235955055,0.0
Cross,21,pb_nbv,minus_y,356,0.8258426966292135,0.19285871612474015,-0.5,0.057382212500952656,0.0,1.6068854729965096,0.5,0.1432584269662921,0.0
Cross,21,ray_gpis,minus_x,356,0.49719101123595505,0.2502409286256928,0.5,0.0,1.0,0.25200155000493396,-0.5,0.47191011235955055,0.0
Cross,22,pose_novelty,minus_x,305,0.6688524590163935,0.22036187549230657,0.5,0.015692413044910647,0.0,0.00019062300270888954,-0.5,0.2295081967213115,0.0
Cross,22,actnerf,minus_x,305,0.6688524590163935,0.22036187549230657,0.5,0.015692413044910647,0.0,3.715573644003598,-0.5,0.2295081967213115,0.0
Cross,22,pb_nbv,minus_x,305,0.6688524590163935,0.22036187549230657,-0.5,0.015692413044910647,0.0,0.2771082029939862,-1.0,0.2295081967213115,0.0
Cross,22,ray_gpis,minus_y,305,0.898360655737705,0.23605428853721722,1.0,0.0,1.0,0.14531653199810535,0.5,0.0,1.0
Cube,15,pose_novelty,minus_x,337,0.8100890207715133,0.23682896372557138,0.5,0.0,1.0,0.00018436199752613902,-0.5,0.18397626112759646,0.0
Cube,15,actnerf,minus_x,337,0.8100890207715133,0.23682896372557138,1.0,0.0,1.0,5.7234329499915475,0.5,0.18397626112759646,0.0
Cube,15,pb_nbv,minus_x,337,0.8100890207715133,0.23682896372557138,nan,0.0,1.0,1.3535535849950975,nan,0.18397626112759646,0.0
Cube,15,ray_gpis,minus_x,337,0.8100890207715133,0.23682896372557138,0.5,0.0,1.0,0.5737458520015934,-0.5,0.18397626112759646,0.0
Cube,16,pose_novelty,minus_x,97,0.0,0.13378156111344197,0.5,0.04202073468363021,0.0,0.0004727429914055392,-0.5,0.9896907216494846,0.0
Cube,16,actnerf,minus_y,97,0.9896907216494846,0.17580229579707218,1.0,0.0,1.0,3.692408360002446,0.5,0.0,1.0
Cube,16,pb_nbv,minus_y,97,0.9896907216494846,0.17580229579707218,0.5,0.0,1.0,0.7761318199918605,1.0,0.0,1.0
Cube,16,ray_gpis,minus_x,97,0.0,0.13378156111344197,0.5,0.04202073468363021,0.0,0.1860012370016193,-0.5,0.9896907216494846,0.0
