planner,object,initial_pose_seed,mean_action_so3_error_deg,mean_nominal_target_view_error_deg,stall_action_rate,slip_action_rate,persistent_misalignment_action_rate,episode_stall_or_slip_rate,fault_action_gain_f@5,fault_action_regret_f@5,post_fault_next_gain_f@5,post_fault_next_regret_f@5,fault_actions,post_fault_decisions
pose_novelty,Cross,0,62.82146995444633,58.38751016455668,0.2,0.0,0.0,1.0,0.013553462158067797,0.041569456906812075,0.22662220431310492,0.0,1,1
pose_novelty,Cross,1,50.732421675810265,41.39774497345279,0.0,0.2,0.8,1.0,0.16277240221627193,0.0,0.12349349817896604,0.0,1,1
pose_novelty,Cross,2,69.88660422693968,63.91236698024452,0.4,0.2,0.6,1.0,0.015300065680949937,0.0,0.07576334648948024,0.0,2,2
pose_novelty,Cross,3,55.56872012676301,50.89605673963872,0.0,0.2,0.8,1.0,0.28888962628512477,0.0,0.06504301703520432,0.0,1,1
pose_novelty,Cross,4,52.33909409963066,41.50164661255013,0.2,0.2,0.8,1.0,0.2332446147695693,0.013470921334053587,0.1272542375561711,0.0,2,2
pose_novelty,Cross,5,33.66768031103764,32.66996693765393,0.4,0.2,0.6,1.0,0.057801742140527544,0.001935938688238344,0.08901315795242515,0.002903908032357516,3,2
pose_novelty,Cross,6,70.6421349974976,65.6678608840277,0.4,0.0,0.0,1.0,0.01793925508545524,0.01219230775207103,0.012327926208945517,0.01831095977009345,2,1
pose_novelty,Cross,7,62.01112714644129,50.71533892560289,0.0,0.4,0.8,1.0,0.1416269625756462,0.0,0.10167034926129392,0.008639913329326565,2,2
pose_novelty,Cross,8,50.85539852347962,46.37302091112411,0.2,0.2,0.8,1.0,0.19098096589572933,0.026607258048467863,0.223374909558268,0.0,1,1
pose_novelty,Cross,9,52.02475997555062,39.63739418617352,0.0,0.4,0.6,1.0,0.09091606613475056,0.007829858232674791,0.02425483517993987,0.021728931370507132,2,1
pose_novelty,Cross,10,70.86387457614735,61.889649144806995,0.2,0.2,0.2,1.0,0.07448625872741463,0.011279581624699692,0.09383750761752016,0.0028433264300538053,2,2
pose_novelty,Cross,11,67.50076979539706,64.32767831814766,0.4,0.2,0.4,1.0,0.17899506597041784,0.02393009811733607,0.09410313766081976,0.0024917495856064398,2,2
pose_novelty,Cross,12,30.80374363730536,30.34095542497534,0.2,0.2,0.2,1.0,0.03398049823136262,0.0,-0.011118903993481921,0.020860826852091563,1,1
pose_novelty,Cross,13,53.996109713057976,52.09195216633166,0.2,0.2,0.2,1.0,0.120587941397381,0.0,0.07900839120478831,0.015242950978553993,2,2
pose_novelty,Cross,14,65.04189400524456,62.10176446209923,0.4,0.0,0.0,1.0,0.04297808712877477,0.00724743445671866,0.07883323183043911,0.028592148945124962,2,2
pose_novelty,Cube,0,58.60022566380661,52.683077082385736,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
pose_novelty,Cube,1,76.6613430623527,74.87518486597172,0.6,0.4,0.6,1.0,0.05557244719613169,0.00725224117301701,0.06266679364318362,0.004366070794521504,4,4
