object,initial_pose_seed,mean_branch_first_second_error_deg,max_branch_first_second_error_deg
Thin_Irregular,5,29.523993685114903,62.36265620934178
Thin_Irregular,6,34.74958557706598,62.36592637265595
Thin_Irregular,7,58.055497202351035,69.66690726912759
Thin_Irregular,8,49.47410492176231,65.02729438501424
Thin_Irregular,9,53.64623019627021,65.02729438501424
Thin_Irregular,10,52.072292587038895,65.02729438501424
Thin_Irregular,11,42.04139712381917,62.36592637265595
Thin_Irregular,12,43.073452495510175,65.46209248772897
Thin_Irregular,13,40.70744814640231,62.36265620934178
Thin_Irregular,14,49.864086626608774,62.36592637265595
green_Pepper,0,52.84430297865379,62.36265620934178
green_Pepper,1,52.627257223484946,65.02729438501424
green_Pepper,2,36.825745795573994,55.322817829862394
green_Pepper,3,47.26480890689413,62.36265620934178
green_Pepper,4,37.60364008210675,49.052655247518686
green_Pepper,5,61.03680360883411,69.66690726912759
green_Pepper,6,36.76718186402312,55.322817829862394
green_Pepper,7,49.864086626608774,62.36592637265595
green_Pepper,8,51.56415911587688,65.02729438501424
green_Pepper,9,43.073452495510175,65.46209248772897
green_Pepper,10,44.918196113734346,55.322817829862394
green_Pepper,11,53.645140141832165,65.02729438501424
green_Pepper,12,30.524556776844992,52.268448080867074
green_Pepper,13,39.17235858873379,62.36265620934178
green_Pepper,14,44.72189997901444,65.46209248772897
