object,initial_pose_seed,mean_branch_first_second_error_deg,max_branch_first_second_error_deg,planner,selected_action,selected_gain_f@5,selected_gain_recall@5,selected_chamfer_reduction_mm,selected_recovery_recall@5,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy,selected_first_second_error_deg,selected_accepted_frames,planning_time_s
Cross,13,54.9749600710828,65.02729438501424,pose_novelty,minus_x,0.4288115315343296,0.5498,12.41505106668078,0.8466468416735029,0.5,0.0,1.0,65.02729438501424,16,0.00019890499243047088
Cross,13,54.9749600710828,65.02729438501424,ray_gpis,minus_x,0.4288115315343296,0.5498,12.41505106668078,0.8466468416735029,1.0,0.0,1.0,65.02729438501424,16,0.12649566400796175
Cross,14,54.69076115952614,69.66690726912759,pose_novelty,minus_x,0.3369806463748585,0.49666666666666665,6.761520793134426,0.9671577854222106,0.5,0.0,1.0,69.66690726912759,23,0.00020633600070141256
Cross,14,54.69076115952614,69.66690726912759,ray_gpis,minus_x,0.3369806463748585,0.49666666666666665,6.761520793134426,0.9671577854222106,1.0,0.0,1.0,69.66690726912759,23,0.12359837998519652
Cube,0,43.073452495510175,65.46209248772897,pose_novelty,minus_x,0.37064066634491644,0.4946666666666667,10.790538071586694,0.8314657104437472,1.0,0.0,1.0,45.08940537858663,17,0.00018565299978945404
Cube,0,43.073452495510175,65.46209248772897,ray_gpis,minus_x,0.37064066634491644,0.4946666666666667,10.790538071586694,0.8314657104437472,1.0,0.0,1.0,45.08940537858663,17,0.5660563080164138
Cube,1,46.99917713968963,62.36265620934178,pose_novelty,minus_x,0.29905840050699906,0.40703333333333336,8.267113173868392,0.7521867685105335,0.5,0.0,1.0,45.08940537858663,17,0.00018296498456038535
Cube,1,46.99917713968963,62.36265620934178,ray_gpis,minus_x,0.29905840050699906,0.40703333333333336,8.267113173868392,0.7521867685105335,1.0,0.0,1.0,45.08940537858663,17,0.12762343099166173
Cube,2,40.32798959438759,62.36265620934178,pose_novelty,minus_x,0.3768013785039297,0.5291666666666668,9.672088713113343,0.9320889828021365,0.5,0.0,1.0,7.540465225788005,24,0.0004121810052311048
Cube,2,40.32798959438759,62.36265620934178,ray_gpis,minus_x,0.3768013785039297,0.5291666666666668,9.672088713113343,0.9320889828021365,0.5,0.0,1.0,7.540465225788005,24,0.13188114399963524
Cube,3,40.32798959438759,62.36265620934178,pose_novelty,minus_x,0.33188560881968776,0.49793333333333334,8.634637803214098,0.9979957242116515,0.5,0.0,1.0,7.540465225788005,24,0.00017727700469549745
Cube,3,40.32798959438759,62.36265620934178,ray_gpis,plus_z,0.3307498534691403,0.4956666666666667,8.628252267744301,0.993452699091395,-0.5,0.0011357553505474405,0.0,62.36265620934178,25,1.017642402992351
Cube,4,43.63444109686472,52.268448080867074,pose_novelty,minus_x,0.09507186779484056,0.1422,2.578912395321703,0.41815330327386785,-0.5,0.01410551269377247,0.0,45.08940537858663,17,0.0002165000041713938
