planner,object,initial_pose_seed,mean_action_so3_error_deg,mean_nominal_target_view_error_deg,stall_action_rate,slip_action_rate,persistent_misalignment_action_rate,episode_stall_or_slip_rate,fault_action_gain_f@5,fault_action_regret_f@5,post_fault_next_gain_f@5,post_fault_next_regret_f@5,fault_actions,post_fault_decisions
ray_gpis_novelty_only,Cylinder,1,53.63637642804247,51.456238852893776,0.2,0.2,0.0,1.0,0.042479230759715214,0.0,0.08031342920070228,0.0,2,1
ray_gpis_novelty_only,Cylinder,2,50.696970639406686,49.516185426834994,0.2,0.0,0.0,1.0,0.04735451840357219,0.04066722731655448,0.12378347859949301,0.0,1,1
ray_gpis_novelty_only,Cylinder,3,54.88769692926405,39.64758439212056,0.2,0.2,0.8,1.0,0.16279629391557027,0.030807761825986324,0.21037687777291703,0.0,1,1
ray_gpis_novelty_only,Cylinder,4,47.31234431191642,44.463159246195296,0.2,0.0,0.0,1.0,0.03322552031824527,0.015478789341370536,0.1841690818845899,0.0,1,1
ray_gpis_novelty_only,Cylinder,5,58.81718504089736,34.121171070520425,0.2,0.2,0.4,1.0,0.08715517929844235,0.028704101621824102,0.17943823641277015,0.0,2,2
ray_gpis_novelty_only,Cylinder,6,61.38969577860125,56.47155332783895,0.4,0.2,0.6,1.0,0.04577643364299622,0.004353639928557751,0.14746288804105456,0.0,2,1
ray_gpis_novelty_only,Cylinder,7,57.10108369981013,54.52420022706317,0.0,0.6,0.6,1.0,0.09576310459684755,0.002656358416136021,0.048924567429694754,0.06894562106772201,3,2
ray_gpis_novelty_only,Cylinder,8,33.40658041300016,8.999272372457048,0.2,0.0,0.0,1.0,0.06337395553968495,0.0,0.013335888003491392,0.13439483226833976,1,1
ray_gpis_novelty_only,Cylinder,9,58.73922372532477,57.286494878134725,0.4,0.2,0.6,1.0,0.036034223397028,0.0010149486203034352,0.09652695963251001,0.0010149486203034352,2,2
ray_gpis_novelty_only,Cylinder,10,62.19594493036376,50.43703201728607,0.2,0.2,0.4,1.0,0.10541523902241334,0.01176758756060936,0.1359406841760311,0.0,2,2
ray_gpis_novelty_only,Cylinder,11,60.000175491734296,58.12483911932998,0.4,0.2,0.6,1.0,0.07826198889938629,0.015729521265592794,0.10243477081437774,0.0026633894802107205,2,2
ray_gpis_novelty_only,Cylinder,12,74.59873400058284,71.82142759155548,0.6,0.2,0.2,1.0,0.07396947559263399,0.0,0.08344191763594104,0.0,4,3
ray_gpis_novelty_only,Cylinder,13,49.178874815356416,45.071921659744966,0.6,0.2,0.6,1.0,0.08864728557371841,0.02080956074910506,0.12615986869309878,0.0006556731679447925,3,3
ray_gpis_novelty_only,Cylinder,14,48.85089898214535,44.22658657685617,0.4,0.0,0.0,1.0,0.039202542328051815,0.0,0.18392008909641894,0.0,2,2
ray_gpis_novelty_only,L_Shaped,0,44.790897411367744,34.36936524885895,0.2,0.2,0.0,1.0,0.03603570938821807,0.08724072014610504,0.15780860758928156,0.0,2,1
ray_gpis_novelty_only,L_Shaped,1,44.798924776928324,24.55402612866962,0.4,0.0,0.0,1.0,0.005983786457166129,0.03328599692321807,0.03717788729021965,0.10967265000506474,2,2
ray_gpis_novelty_only,L_Shaped,2,75.24255618490523,54.45916896269231,0.2,0.2,0.6,1.0,0.056928190800882766,0.0010603801009886338,0.09582729556004577,0.0,2,2
ray_gpis_novelty_only,L_Shaped,3,68.10825517890457,50.068076844406576,0.4,0.2,0.8,1.0,0.05610887696730535,0.003662187004011219,0.10807815594876435,0.051754980438777465,2,2
ray_gpis_novelty_only,L_Shaped,4,50.4713566960357,31.415045390379,0.4,0.2,0.0,1.0,0.02044028433748657,0.007100724539996717,0.02833129122972644,0.04336812617603569,2,1
ray_gpis_novelty_only,L_Shaped,5,57.10207153681513,43.93756790313358,0.4,0.0,0.0,1.0,0.02621255725885263,0.028000242638997308,0.1953520231914571,0.0,2,1
ray_gpis_novelty_only,L_Shaped,6,40.72602564728137,40.378744601958886,0.2,0.0,0.0,1.0,0.08721958993581358,0.0018873230980283595,0.08125982194454329,0.02337613748169598,1,1
ray_gpis_novelty_only,L_Shaped,7,41.79212913296672,37.883821301810436,0.0,0.4,0.6,1.0,0.1198964405856868,0.020751032195529706,0.08896133932870298,0.0,2,2
ray_gpis_novelty_only,L_Shaped,8,38.83092707549217,9.537537433921798,0.2,0.0,0.0,1.0,0.017399408029543317,0.013898477156426448,0.011731533904551394,0.09297391256824405,1,1
ray_gpis_novelty_only,L_Shaped,9,34.84679615285863,33.199363655222456,0.0,0.4,0.6,1.0,0.06416854976880693,0.053962739042276275,0.06472607950072995,0.0,2,2
ray_gpis_novelty_only,L_Shaped,10,50.95507193005052,26.012993811866714,0.2,0.2,0.6,1.0,0.029072203615706838,0.008764307906875934,0.024972905633676545,0.0802819565333105,1,1
ray_gpis_novelty_only,L_Shaped,11,37.7938012535995,29.544282491203937,0.0,0.4,0.8,1.0,0.19359816113593795,0.0,0.05003408105390572,0.0,2,2
ray_gpis_novelty_only,L_Shaped,12,46.62280351025481,44.991576731882574,0.2,0.0,0.0,1.0,0.001515228810114122,0.04501113557449543,0.10532404056022282,0.0,1,1
ray_gpis_novelty_only,L_Shaped,13,69.6547363022312,66.8522799795874,0.8,0.0,0.0,1.0,0.02298528828873854,0.012920944480366459,0.03929457994092215,0.009866664140213421,4,3
ray_gpis_novelty_only,L_Shaped,14,42.416453580311895,36.60840963340531,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis_novelty_only,Thin_Irregular,0,54.263819552745645,53.93702019091336,0.2,0.0,0.0,1.0,0.09757242154241014,0.022225078043534185,0.051113302994421905,0.0,1,1
ray_gpis_novelty_only,Thin_Irregular,1,50.900886021438346,44.799129660030175,0.0,0.2,0.4,1.0,0.051275960588026304,0.0,0.07805191001399747,0.0,1,1
ray_gpis_novelty_only,Thin_Irregular,2,46.19456084625453,37.56199485682508,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis_novelty_only,Thin_Irregular,3,61.80166122238709,43.906380363939796,0.4,0.2,0.4,1.0,0.1082936173308388,0.027271911246807373,0.1408647065798613,0.0,3,2
ray_gpis_novelty_only,Thin_Irregular,4,44.191230160357634,43.69841321851923,0.4,0.2,0.0,1.0,0.03448332763729519,0.002658232673651284,0.14317211896183757,0.0,3,2
ray_gpis_novelty_only,Thin_Irregular,5,60.91507375518222,59.9430161810335,0.4,0.2,0.0,1.0,0.1486559729565267,0.02070557663465744,0.12603685820435914,0.0,3,2
ray_gpis_novelty_only,Thin_Irregular,6,53.11200704736956,48.45339800729738,0.4,0.4,0.8,1.0,0.16342363979768273,0.010660998305750605,0.13443134385681474,0.0,3,3
ray_gpis_novelty_only,Thin_Irregular,7,72.74758824111743,70.23216877604152,0.4,0.0,0.0,1.0,0.0463353457625241,0.010631923472702143,0.09443592571947224,0.006006453481906537,2,2
ray_gpis_novelty_only,Thin_Irregular,8,79.2874295635822,76.96821687930186,0.6,0.4,0.6,1.0,0.09116619207945022,0.01160845881597991,0.13505858171425122,0.0038400877554369828,4,3
ray_gpis_novelty_only,Thin_Irregular,9,28.45457188722594,25.077967312443064,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis_novelty_only,Thin_Irregular,10,80.64746439328482,75.23561438707434,0.6,0.0,0.0,1.0,0.0594984257715532,0.016421767274383603,0.07541556755991767,0.012806478173765456,3,3
ray_gpis_novelty_only,Thin_Irregular,11,77.20892713678805,70.33961212519114,0.4,0.2,0.0,1.0,0.06048809427504398,0.0,0.08625561216327998,0.0,3,2
ray_gpis_novelty_only,Thin_Irregular,12,50.70358148624367,35.590487370368976,0.2,0.4,0.8,1.0,0.07240988875942427,0.0,0.07747754357476717,0.004126609956589422,3,3
ray_gpis_novelty_only,Thin_Irregular,13,71.64835405502896,63.255682145813196,0.2,0.0,0.0,1.0,0.04421498174246996,0.0,0.024513679228505225,0.0,1,1
ray_gpis_novelty_only,Thin_Irregular,14,55.06848257898939,53.10892320969526,0.2,0.4,0.8,1.0,0.08691433186891039,0.001305116039915381,0.10094602814703663,0.0019576740598730713,3,2
ray_gpis_novelty_only,green_Pepper,0,30.935134110279524,17.642020895140586,0.2,0.2,0.6,1.0,0.11187372750300323,0.0,0.024831568791029823,0.03472366653666209,2,2
ray_gpis_novelty_only,green_Pepper,1,67.60012609420602,66.55903824433743,0.6,0.2,0.8,1.0,0.04364429130109134,0.017897747948450077,0.13790483136327655,0.0,3,3
ray_gpis_novelty_only,green_Pepper,2,47.90342736684895,43.481762619521234,0.0,0.2,0.6,1.0,0.08998655007096878,0.07992401322851134,0.14398556728431283,0.0,1,1
ray_gpis_novelty_only,green_Pepper,3,42.82429052889609,30.76419752249443,0.0,0.4,0.6,1.0,0.1668390702095552,0.0,0.1078516151658459,0.0,2,2
ray_gpis_novelty_only,green_Pepper,4,54.626502239930474,53.852472683846486,0.4,0.2,0.0,1.0,0.010914345083783972,0.004007621634561975,0.011096730320243386,0.00801524326912395,2,1
ray_gpis_novelty_only,green_Pepper,5,34.15554188172575,31.683289689805985,0.0,0.2,0.8,1.0,0.0981863614595791,0.10406219246326037,0.22925174687244348,0.0,1,1
ray_gpis_novelty_only,green_Pepper,6,51.68520266122829,44.28618278605184,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis_novelty_only,green_Pepper,7,43.34587255610379,32.7409732671239,0.4,0.4,0.4,1.0,0.08320476255449971,0.01196068980095318,0.034021189553771425,0.01794103470142977,3,2
ray_gpis_novelty_only,green_Pepper,8,27.692702343049074,17.097451824821597,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis_novelty_only,green_Pepper,9,65.38737051721134,64.28909987500543,0.6,0.2,0.0,1.0,0.10621667355076113,0.013386917592322245,0.07146151321767273,0.015729862913913577,4,3
ray_gpis_novelty_only,green_Pepper,10,82.38768739266757,76.16084432553579,0.6,0.2,0.0,1.0,0.05182981307730515,0.017353987440432234,0.11857335742133383,0.008704610757405215,4,3
ray_gpis_novelty_only,green_Pepper,11,40.59593742234449,37.053611574955255,0.2,0.6,0.6,1.0,0.07798183085752892,0.004413907181171887,0.057984207099960605,0.0,3,2
ray_gpis_novelty_only,green_Pepper,12,51.44730597972286,47.65452202706265,0.2,0.2,0.8,1.0,0.1458362190667576,0.0,0.0966272501521469,0.0,2,2
