first_planner,second_planner,metric,second_minus_first,ci95,valid_pairs
ray_gpis_pointwise,ray_gpis,episode_stall_or_slip_rate,0.0,0.0,120
ray_gpis_pointwise,ray_gpis,fault_action_gain_f@5,-0.0005263764153118634,0.0009397295124300111,112
ray_gpis_pointwise,ray_gpis,fault_action_regret_f@5,-0.000421045409645984,0.0009240602869132242,112
ray_gpis_pointwise,ray_gpis,post_fault_next_gain_f@5,0.0006347747948816546,0.0019201753367262423,108
ray_gpis_pointwise,ray_gpis,post_fault_next_regret_f@5,-0.0008613670944302641,0.0011709193536896016,108
ray_gpis_hit_only,ray_gpis,mean_action_so3_error_deg,2.5243183936615896,1.302288120897205,120
ray_gpis_hit_only,ray_gpis,mean_nominal_target_view_error_deg,2.4570788014629272,1.4987515928750275,120
ray_gpis_hit_only,ray_gpis,stall_action_rate,0.0,0.0,120
ray_gpis_hit_only,ray_gpis,slip_action_rate,0.0,0.0,120
ray_gpis_hit_only,ray_gpis,persistent_misalignment_action_rate,0.0,0.0,120
ray_gpis_hit_only,ray_gpis,episode_stall_or_slip_rate,0.0,0.0,120
ray_gpis_hit_only,ray_gpis,fault_action_gain_f@5,0.0027904148002088416,0.0030077480383630738,112
ray_gpis_hit_only,ray_gpis,fault_action_regret_f@5,-0.005638782745795172,0.0030190677063668537,112
ray_gpis_hit_only,ray_gpis,post_fault_next_gain_f@5,0.003067527718224808,0.005273955016524809,108
ray_gpis_hit_only,ray_gpis,post_fault_next_regret_f@5,-0.00709048452254253,0.0045203015150714195,108
