metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
visibility_coverage_auc,ray_gpis_hit_only,120,True,0.008974423675731797,0.003527360836888443,0.01609690860806873,53,46,21,1.6143176774335724e-05,6.45727070973429e-05
visibility_coverage_auc,ray_gpis_novelty_only,120,True,0.004123443985902801,0.000965055262406767,0.009524043223088375,36,74,10,4.784045694350425e-05,0.00014352137083051275
visibility_coverage_auc,ray_gpis_pointwise,120,True,1.3923079980406732e-06,-0.00020212563649279106,0.00022925474806785896,8,102,10,0.9661178588867188,0.9661178588867188
visibility_coverage_auc,ray_gpis_uncertainty_only,120,True,0.000691119771862286,-3.541528834716041e-05,0.0016802855902671664,29,72,19,0.07673054056111539,0.15346108112223078
recall@5_auc,ray_gpis_hit_only,120,True,0.019192027777777784,0.011696332638888893,0.02805592430555555,55,46,19,1.04203622783901e-06,4.16814491135604e-06
recall@5_auc,ray_gpis_novelty_only,120,True,0.02553116666666667,0.01489614097222223,0.03682984305555556,37,74,9,1.1678006330839708e-06,4.16814491135604e-06
recall@5_auc,ray_gpis_pointwise,120,True,-0.0010608333333333349,-0.003281867361111112,0.00074191180555555,9,102,9,0.7987060546875,0.7987060546875
recall@5_auc,ray_gpis_uncertainty_only,120,True,0.0034045833333333315,0.00014450902777777815,0.007094920138888887,26,71,23,0.18093330554214404,0.3618666110842881
f@5_auc,ray_gpis_hit_only,120,True,0.015869279659263585,0.00961405988252556,0.022722164529281528,52,46,22,2.045781506050175e-06,6.137344518150525e-06
f@5_auc,ray_gpis_novelty_only,120,True,0.021705984763245798,0.012360366929518932,0.03149178640803395,38,74,8,8.057479874423734e-07,3.2229919497694937e-06
f@5_auc,ray_gpis_pointwise,120,True,-0.0006737985810650853,-0.002340647272862021,0.000651308946952058,10,102,8,0.8650436401367188,0.8650436401367188
f@5_auc,ray_gpis_uncertainty_only,120,True,0.0034875681519296983,0.0006997475525981127,0.006782270651411577,28,71,21,0.13929456881251312,0.27858913762502624
selected_gain_f@5_per_action,ray_gpis_hit_only,120,True,0.004578962989217329,0.002666142950477113,0.006629746047022617,49,46,25,4.283966333446527e-05,0.0001713586533378611
selected_gain_f@5_per_action,ray_gpis_novelty_only,120,True,0.004767701610583886,0.002351996897772261,0.007368062377892532,34,74,12,0.00018963387191206493,0.0005689016157361948
selected_gain_f@5_per_action,ray_gpis_pointwise,120,True,-0.00036836812222295923,-0.0010929038237605835,0.00029432311301008364,9,102,9,0.468292236328125,0.468292236328125
selected_gain_f@5_per_action,ray_gpis_uncertainty_only,120,True,0.0009495972153133904,5.630906287807452e-05,0.0019475854690823619,27,71,22,0.12632769285416856,0.2526553857083371
score_gain_correlation,ray_gpis_hit_only,120,True,0.065,0.02499999999999999,0.10833333333333334,54,27,39,0.0076207425026358485,0.030482970010543394
score_gain_correlation,ray_gpis_novelty_only,116,True,0.005603448275862073,-0.038091208390353064,0.04885134838473123,33,51,32,0.9634320286827135,0.9634320286827135
score_gain_correlation,ray_gpis_pointwise,120,True,0.0068899576603592685,-0.018333333333333333,0.031279915320718533,29,71,20,0.29451181685393735,0.5890236337078747
score_gain_correlation,ray_gpis_uncertainty_only,120,True,0.020730515481569768,-0.0076410110111514995,0.049116907399730965,47,40,33,0.13483010799580805,0.4044903239874241
oracle_regret_f@5,ray_gpis_hit_only,120,True,0.0066662583781894194,0.004106594407685708,0.009552748188648588,49,46,25,6.5929640893613865e-06,1.977889226808416e-05
oracle_regret_f@5,ray_gpis_novelty_only,120,True,0.0072112589799232605,0.004211420345349165,0.010410414745027506,38,74,8,5.095428150525549e-07,2.0381712602102198e-06
oracle_regret_f@5,ray_gpis_pointwise,120,True,-2.5588588220533567e-05,-0.0009070061429104052,0.0008581609235224037,10,102,8,0.8985748291015625,0.8985748291015625
oracle_regret_f@5,ray_gpis_uncertainty_only,120,True,0.0008844539227112006,-0.00028771581596372656,0.002163733727996271,26,71,23,0.38465097602651,0.76930195205302
oracle_action_accuracy,ray_gpis_hit_only,120,True,0.08666666666666668,0.04833333333333334,0.12666666666666665,44,61,15,4.085127861063222e-05,0.00016340511444252887
oracle_action_accuracy,ray_gpis_novelty_only,120,True,0.07,0.03333333333333334,0.10833333333333334,28,83,9,0.0002507109893485904,0.0007521329680457711
oracle_action_accuracy,ray_gpis_pointwise,120,True,0.003333333333333333,-0.018333333333333333,0.02333333333333333,9,105,6,0.5994873046875,0.5994873046875
oracle_action_accuracy,ray_gpis_uncertainty_only,120,True,0.013333333333333336,-0.013333333333333334,0.041666666666666664,20,84,16,0.2263746938551776,0.4527493877103552
consecutive_score_map_correlation,ray_gpis_hit_only,120,True,0.1552295925670081,0.13770786966651874,0.17180298913916597,113,0,7,2.4014240182492084e-19,4.622767292680354e-19
consecutive_score_map_correlation,ray_gpis_novelty_only,115,True,0.17762094063139183,0.14552658177172845,0.21425443965025873,111,0,4,2.311383646340177e-19,4.622767292680354e-19
consecutive_score_map_correlation,ray_gpis_pointwise,120,True,0.16765416219241477,0.15912080369167966,0.1756901127568066,120,0,0,1.9719517121524354e-21,7.887806848609741e-21
consecutive_score_map_correlation,ray_gpis_uncertainty_only,120,True,-0.08533618268376415,-0.09680573624287449,-0.0740505581617778,4,0,116,4.079534294820475e-21,1.2238602884461425e-20
planning_time_s,ray_gpis_hit_only,120,True,-0.0022911203855619532,-0.006461938669789863,0.0007591634664495352,62,0,58,0.7752942488862542,1.0
planning_time_s,ray_gpis_novelty_only,120,True,-0.0028310604524449455,-0.00840222937548606,0.001138356285501383,47,0,73,0.0043452146744748805,0.017380858697899522
planning_time_s,ray_gpis_pointwise,120,True,0.0001402675377903511,-0.0007686095757017026,0.0010937501066994922,58,0,62,0.8730772126895778,1.0
planning_time_s,ray_gpis_uncertainty_only,120,True,0.0004435975714538168,-0.0003498977390166437,0.0012134501608719185,69,0,51,0.08676031077486938,0.26028093232460814
